"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",2.34719555114211,0.0319950401024874,NA,2.28531670223457,2.41074987546118
"randomraw","string",1.35489016909755,0.0242210838855747,NA,1.30823975479872,1.40320408670017
"random","string",1.07375045900425,0.0215401199349896,NA,1.03235179187935,1.11680926722949
"EGAD","string",8.08080763535186,0.0605857108668508,NA,7.9629300388009,8.20043020865145
"ppr","string",11.6918427139948,0.0737852034907096,NA,11.5481170757967,11.8373571337699
"raw","string",13.325445924212,0.0792066416842066,NA,13.1711045475091,13.4815959009816
"gm","string",6.90523819125257,0.0557763189617519,NA,6.79677940727428,7.01542769313667
"mc","string",10.2258313287975,0.0686605044852836,NA,10.0921408269351,10.3612928275766
"z","string",12.8089193250479,0.0775216843362602,NA,12.6578772193349,12.961763764383
"knn","string",12.6271719310972,0.0769226351938854,NA,12.4773028186975,12.7788411721927
"wsld","string",12.5227746102326,0.0765770330930826,NA,12.3735822211358,12.6737658614993
"COSNet","string",7.20321291724577,0.0570265122072224,NA,7.09230568806853,7.31585447853231
"bagsvm","string",13.1632635487478,0.0786803205990632,NA,13.009952742821,13.3183809871565
"rf","string",14.7393344823819,0.0836969573320291,NA,14.5762009504829,14.9042937677347
"svm","string",12.9863189371128,0.0781032601559656,NA,12.8341380579126,13.1403043021218
"pr","omnipath",1.72388250823333,0.0236187680333986,NA,1.67820659277411,1.77080158961863
"randomraw","omnipath",0.995090273559891,0.017841988141292,NA,0.960727939580711,1.0306816443432
"random","omnipath",0.788609041792129,0.0158574216837133,NA,0.75813354780671,0.820309591358247
"EGAD","omnipath",5.93489661660406,0.045244899332951,NA,5.84687746576822,6.02424081161249
"ppr","omnipath",8.58699784679789,0.0554726780093738,NA,8.47895880837906,8.69641352049543
"raw","omnipath",9.78678710087901,0.0597213555350374,NA,9.67043259218063,9.90454158538668
"gm","omnipath",5.07150728335901,0.0415586227171784,NA,4.9907045026724,5.1536183140859
"mc","omnipath",7.510295318718,0.0514822244237735,NA,7.41006682219825,7.61187950497115
"z","omnipath",9.40742749920327,0.0583978964286802,NA,9.29366319942775,9.52258439473203
"knn","omnipath",9.27394430765746,0.0579280193859988,NA,9.16109963927951,9.38817897501835
"wsld","omnipath",9.19727037426603,0.0576570940337024,NA,9.08495595680408,9.31097329910544
"COSNet","omnipath",5.29035288307282,0.0425148385617787,NA,5.2076781386336,5.37434013438865
"bagsvm","omnipath",9.66767330992518,0.0593076644211174,NA,9.55212845211942,9.78461582629806
"rf","omnipath",10.8252083576142,0.0632614247838768,NA,10.7019256210707,10.9499112715789
"svm","omnipath",9.53771749061764,0.0588543939075458,NA,9.42305975124554,9.653770360398
