"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"ppr","representative","omnipath",0.80794718393417,0.00125976828515968,Inf,0.805465977481378,0.810404192791852
"raw","representative","omnipath",0.8270653292856,0.00120524367062374,Inf,0.824690319845466,0.82941481868008
"gm","representative","omnipath",0.480822634170168,0.00160941192003413,Inf,0.477669050933659,0.483977746159853
"mc","representative","omnipath",0.834712266521554,0.00118194937900215,Inf,0.832382650450158,0.837015844363464
"z","representative","omnipath",0.829323558956872,0.00119845648967469,Inf,0.826961774286323,0.831659669896962
"knn","representative","omnipath",0.825855850483705,0.00120884767130053,Inf,0.823473819139155,0.828212444318725
"wsld","representative","omnipath",0.825099986745796,0.00121108905558973,Inf,0.822713588533457,0.827460999108629
"COSNet","representative","omnipath",0.516180490004984,0.00161636308717449,Inf,0.513011868683367,0.5193478108603
"bagsvm","representative","omnipath",0.832510498034119,0.00118874757364476,Inf,0.830167633049928,0.834827473336479
"rf","representative","omnipath",0.795379389427654,0.00129291229776545,Inf,0.79283367128515,0.797901799172009
"svm","representative","omnipath",0.738422234557295,0.00141940632564115,Inf,0.735630711541112,0.741194651523044
