"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.8469663491417,0.0230361868532745,Inf,0.802998581427823,0.893341549001104
"randomraw","classic",0.249277850730935,0.0124462601545831,Inf,0.226039232040942,0.274905582999765
"random","classic",0.313413879554937,0.0139628214377357,Inf,0.287208020329786,0.34201085256911
"EGAD","classic",4.46290390729975,0.0541615260848153,Inf,4.35800181338312,4.57033111473843
"ppr","classic",6.39654965164914,0.0656465734656165,Inf,6.26917012961021,6.52651732208721
"raw","classic",8.44208125927251,0.0763819132830778,Inf,8.29369503601841,8.59312232709902
"gm","classic",7.09685580048289,0.0694512524883472,Inf,6.96203099073595,7.23429159104095
"mc","classic",3.35405494426851,0.0466159741104066,Inf,3.26392250687067,3.44667636731297
"z","classic",8.05593044687205,0.0744373734852224,Inf,7.91134902711066,8.20315411979008
"knn","classic",7.35540186093511,0.0708191204962358,Inf,7.21790040273733,7.49552273058935
"wsld","classic",7.25701051530233,0.0703007584965641,Inf,7.12052338347827,7.39611385047976
"COSNet","classic",6.0261918736304,0.063568896826058,Inf,5.90287828478352,6.15208153476959
"bagsvm","classic",8.436149603168,0.0763522923908392,Inf,8.28782133718724,8.5871325203042
"rf","classic",9.85262908091339,0.0832285843129046,Inf,9.69084702089604,10.0171119817228
"svm","classic",8.00261968763308,0.0741662531316567,Inf,7.85856876624986,8.1493111239203
"pr","block",0.316676616568622,0.00873426928441379,Inf,0.300012241313345,0.334266625396159
"randomraw","block",0.0932037812776945,0.00467311578325539,Inf,0.0844802906027057,0.102828065368682
"random","block",0.117183931880743,0.00524812094398533,Inf,0.107336325718702,0.127935009877444
"EGAD","block",1.66865815963855,0.0216435912679777,Inf,1.62677216928992,1.7116226268757
"ppr","block",2.39163893990616,0.026876126366487,Inf,2.33953856599674,2.4448995635336
"raw","block",3.15645330265243,0.0320063214556185,Inf,3.09434131537566,3.21981204927804
"gm","block",2.65348001777143,0.0286682258602107,Inf,2.59788206154779,2.71026784045667
"mc","block",1.25406490188492,0.0183506274621212,Inf,1.21860919786814,1.29055219744845
"z","block",3.01207338380427,0.0310602820993923,Inf,2.95180741890271,3.07356977671487
"knn","block",2.75014913778325,0.029319574890725,Inf,2.69328004570625,2.80821903095734
"wsld","block",2.71336109010439,0.0290723053971924,Inf,2.65697455036313,2.77094426978469
"COSNet","block",2.25316396013666,0.0259097613040212,Inf,2.20294975494118,2.30452275176574
"bagsvm","block",3.15423548515858,0.0319918558287332,Inf,3.092151724352,3.21756575444841
"rf","block",3.68385030268453,0.0353946150022744,Inf,3.61512723970766,3.75387978147245
"svm","block",2.99214074907845,0.0309289610698788,Inf,2.93213103899622,3.05337863254593
"pr","representative",0.31058241152353,0.00856988189118403,Inf,0.294231864942716,0.327841562526042
"randomraw","representative",0.0914101440958942,0.00458378382070052,Inf,0.0828534669585859,0.100850510550256
"random","representative",0.114928814604926,0.00514796742243405,Inf,0.10526920551238,0.125474799227397
"EGAD","representative",1.63654607922923,0.0212684699455161,Inf,1.59538706230025,1.67876694799002
"ppr","representative",2.34561363418089,0.0264273711761968,Inf,2.29438464875823,2.39798645960826
"raw","representative",3.09570971555068,0.0314904805283696,Inf,3.03460070751041,3.15804930092999
"gm","representative",2.60241577600147,0.0281955169551551,Inf,2.54773619233711,2.65826889438213
"mc","representative",1.22993135917263,0.0180250640643621,Inf,1.19510544597056,1.26577211523601
"z","representative",2.95410828044214,0.0305564805002355,Inf,2.89482167807724,3.0146090858257
"knn","representative",2.69722457097488,0.0288383033359821,Inf,2.64129064720218,2.75434299287615
"wsld","representative",2.66114448180648,0.0285942757177583,Inf,2.60568675135789,2.71778253827273
"COSNet","representative",2.20980350200726,0.0254741752393989,Inf,2.1604348556257,2.26030028388394
"bagsvm","representative",3.09353457829862,0.0314761979455987,Inf,3.03245343766008,3.15584604475036
"rf","representative",3.61295735408844,0.0348367387138713,Inf,3.54531973194822,3.68188536701839
"svm","representative",2.93455923438929,0.0304268418193535,Inf,2.87552558673892,2.99480482450019
