"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.324463639551885,0.00828162798388219,Inf,0.308631265691408,0.341108193155385
"randomraw","classic",0.156660904050688,0.00560811060052133,Inf,0.146045948495071,0.168047378998721
"random","classic",0.170672601332289,0.00586642116631319,Inf,0.159553375556732,0.18256672253965
"EGAD","classic",0.564350648812432,0.0113075328976353,Inf,0.542617814610269,0.586953922704818
"ppr","classic",0.704636436776291,0.0128801883119486,Inf,0.679838594725727,0.730338806717939
"raw","classic",0.607567449918077,0.0118031012442727,Inf,0.584868676505406,0.631147163506103
"gm","classic",0.413598291831031,0.00947416502305845,Inf,0.395439940763899,0.43259046285282
"mc","classic",0.998882078678774,0.0159303553358824,Inf,0.96814209200557,1.03059810677035
"z","classic",0.828547108696172,0.0141975251880757,Inf,0.801182560004959,0.856846298956554
"knn","classic",0.582582736778946,0.0115179493689601,Inf,0.560439755718795,0.605600587270158
"wsld","classic",0.587140758770574,0.0115702396577224,Inf,0.564895855636913,0.610261638795352
"COSNet","classic",0.505096362921624,0.0106085594020383,Inf,0.484726117699146,0.52632265215591
"bagsvm","classic",0.617696387677206,0.0119177039312764,Inf,0.594774250475806,0.64150192622535
"rf","classic",0.326658242732333,0.00831232039918908,Inf,0.310765995532364,0.343363202792447
"svm","classic",0.376121222122535,0.00898523287121807,Inf,0.358916413780751,0.394150750144759
"pr","block",0.31285979624162,0.00800141811364445,Inf,0.297563871296083,0.328941990430532
"randomraw","block",0.151058215916019,0.00541304648843113,Inf,0.140812836331024,0.162049037504568
"random","block",0.164568810701233,0.00566285913258296,Inf,0.153835811116618,0.176050642948718
"EGAD","block",0.544167689298354,0.0109384968123411,Inf,0.523145464318509,0.566034677299664
"ppr","block",0.679436414936099,0.0124679260750045,Inf,0.655433953799604,0.704317863401933
"raw","block",0.585838921263823,0.0114202399195681,Inf,0.563877868854533,0.608655279138289
"gm","block",0.398806712169196,0.00915801289555496,Inf,0.381255274422818,0.417166146519506
"mc","block",0.963158904450596,0.0154391848753558,Inf,0.933369072632992,0.993899522088881
"z","block",0.798915650336887,0.0137504378165094,Inf,0.77241478627708,0.826325735463397
"knn","block",0.561747740283853,0.0111430195864425,Inf,0.540326926053694,0.584017764983004
"wsld","block",0.566142753030228,0.0111938506579824,Inf,0.544622878300773,0.588512950114513
"COSNet","block",0.48703252359583,0.0102593564128739,Inf,0.467333996268003,0.507561360684949
"bagsvm","block",0.595605616255723,0.0115316726926791,Inf,0.573427416530804,0.618641592446953
"rf","block",0.314975913489193,0.00803116974433226,Inf,0.299621959452947,0.331116672020602
"svm","block",0.362669940699436,0.00868366590897246,Inf,0.346043450336657,0.38009529080516
"pr","representative",0.290883126041919,0.0074706279502856,Inf,0.276603378643513,0.30590007045781
"randomraw","representative",0.140447211779273,0.00504359496374464,Inf,0.130901810298908,0.150688666959837
"random","representative",0.153008762010461,0.00527730935717898,Inf,0.143007282283966,0.163709713785666
"EGAD","representative",0.505942919018803,0.0102392274780918,Inf,0.486267205853152,0.52641476584084
"ppr","representative",0.631709764877214,0.0116865680565566,Inf,0.609214800905921,0.655035344590799
"raw","representative",0.544686977430105,0.010694724269062,Inf,0.524123906660231,0.56605680376696
"gm","representative",0.370792746514111,0.0085590774877944,Inf,0.354391084189894,0.387953498270877
"mc","representative",0.895502318825677,0.0145077418755508,Inf,0.867514365838424,0.924393225750366
"z","representative",0.74279624485318,0.0129028825534567,Inf,0.717932712346217,0.768520854224442
"knn","representative",0.522288068661133,0.0104325623753489,Inf,0.502235705748528,0.543141046212992
"wsld","representative",0.526374356071715,0.010480623237009,Inf,0.506228365121745,0.547322081928932
"COSNet","representative",0.452821182681552,0.00959772630050261,Inf,0.434395359412088,0.472028577291044
"bagsvm","representative",0.553767616120247,0.0108001380833247,Inf,0.532999201698381,0.575345275727142
"rf","representative",0.292850597757492,0.00749859627001688,Inf,0.278516317144346,0.307922614682833
"svm","representative",0.337194383360835,0.00811238727748524,Inf,0.321663445240226,0.353475204759992
