"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",1.57597384381384,0.0192640155929707,Inf,1.53866576026827,1.61418653779123
"randomraw","classic",0.85838078930125,0.0138875771027103,Inf,0.83158867072172,0.886036096189196
"random","classic",0.964663535354027,0.0147745249171901,Inf,0.936136309816938,0.994060081510677
"EGAD","classic",2.26459746928079,0.0235946065076036,Inf,2.21882186506644,2.31131745121837
"ppr","classic",3.01872521774902,0.0278625979309375,Inf,2.96460651733972,3.07383185153728
"raw","classic",2.64156908418673,0.0257749902019163,Inf,2.5915310271376,2.69257329102417
"gm","classic",1.41802587398541,0.0181808031969611,Inf,1.38283614938885,1.45411108914151
"mc","classic",3.54829376144949,0.0306719553612922,Inf,3.48868421806664,3.60892182569585
"z","classic",3.58279875018537,0.0308508701979687,Inf,3.52283954214865,3.64377847209602
"knn","classic",1.96198687288052,0.021757458732539,Inf,1.91980313039764,2.00509751672203
"wsld","classic",1.83356188806675,0.0209489823321896,Inf,1.79295894801151,1.87508431305662
"COSNet","classic",1.63280558996706,0.0196438313724474,Inf,1.59475476607464,1.6717643059252
"bagsvm","classic",2.48565081957806,0.0248859240552178,Inf,2.43735074671925,2.53490803700922
"rf","classic",1.56176590727553,0.0191682816254864,Inf,1.52464503720443,1.59979056738379
"svm","classic",1.51046972081256,0.0188199342524722,Inf,1.4740300751876,1.5478101945791
"pr","block",1.54856296796657,0.0189514385874581,Inf,1.51186076370195,1.58615616155389
"randomraw","block",0.843450992504446,0.013655284587011,Inf,0.817107297816309,0.870644012919664
"random","block",0.947885165265099,0.0145285371310463,Inf,0.919833219480244,0.976792604899983
"EGAD","block",2.2252093789783,0.0232221180862623,Inf,2.18015718420256,2.27119256178959
"ppr","block",2.9662206013269,0.0274349886157874,Inf,2.91293346508704,3.02048253459616
"raw","block",2.59562433548874,0.0253738768599209,Inf,2.54636585123747,2.64583570648626
"gm","block",1.39336218344726,0.0178838714424221,Inf,1.35874765056995,1.42885853266907
"mc","block",3.48657837185307,0.0302100132922383,Inf,3.42786776890197,3.54629453719201
"z","block",3.52048321613474,0.0303867906645586,Inf,3.46142714346442,3.58054685579252
"knn","block",1.92786208153477,0.021409878129596,Inf,1.88635288292923,1.97028469013082
"wsld","block",1.80167078944898,0.0206125983733133,Inf,1.76172042849144,1.84252710081433
"COSNet","block",1.60440624090108,0.0193258318535426,Inf,1.56697193275645,1.64273483910731
"bagsvm","block",2.44241795357424,0.0244963625894462,Inf,2.3948747875316,2.49090494876784
"rf","block",1.53460214973294,0.0188570765612799,Inf,1.49808446786124,1.57200999575619
"svm","block",1.4841981566297,0.0185137388960948,Inf,1.44835187270981,1.52093162555973
"pr","representative",1.48274931731418,0.0182008242409786,Inf,1.44750205833508,1.5188548612666
"randomraw","representative",0.807604475371216,0.013097521922619,Inf,0.782337501919577,0.833687490423621
"random","representative",0.907600214368168,0.013937883244838,Inf,0.88068948813635,0.935333236308154
"EGAD","representative",2.13063837623193,0.0223275043106714,Inf,2.08732361475577,2.17485197703921
"ppr","representative",2.84015675345509,0.0264077852104739,Inf,2.7888672089134,2.89238955458888
"raw","representative",2.48531076298674,0.0244104226394116,Inf,2.43792477977066,2.53361778832191
"gm","representative",1.33414453852704,0.0171708467945206,Inf,1.30091122022557,1.36822684131581
"mc","representative",3.33839941130449,0.0291001573932375,Inf,3.28184860072926,3.39592467090701
"z","representative",3.37086330573579,0.0292717870636997,Inf,3.31397712815001,3.42872596477427
"knn","representative",1.84592828603227,0.0205751431994081,Inf,1.80603904719642,1.88669854201854
"wsld","representative",1.72510010141095,0.0198047745302302,Inf,1.6867169080247,1.7643567487405
"COSNet","representative",1.53621926108338,0.018562188044731,Inf,1.50026545599247,1.57303469775779
"bagsvm","representative",2.3386156250485,0.0235606932207132,Inf,2.2928904433898,2.38525266546773
"rf","representative",1.46938183137187,0.0181097586771885,Inf,1.43431262873443,1.5053084823431
"svm","representative",1.42111999900876,0.01777845786428,Inf,1.38669858416769,1.45639584163479
