"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",0.309085126918797,0.00760746996526917,Inf,0.294528686274625,0.324360988027262
"randomraw",0.149235690873082,0.00524621461449556,Inf,0.139299532076981,0.159880590396086
"random",0.162583279646397,0.00547926200692649,Inf,0.152191119661896,0.173685053893434
"EGAD",0.537602278504314,0.0101402015893725,Inf,0.518090728535295,0.557848642978255
"ppr",0.671238980100824,0.0114000938680765,Inf,0.649262997091822,0.693958797012844
"raw",0.578770744940834,0.0105412063202529,Inf,0.55847476821391,0.59980431393646
"gm",0.39399508894293,0.00862328938369613,Inf,0.377451134945412,0.411264176311452
"mc",0.951538343377208,0.0137450430131608,Inf,0.924976337792011,0.978863114572597
"z",0.789276692461581,0.0124280173491718,Inf,0.765290261561759,0.814014928129098
"knn",0.554970225282287,0.0103109243414071,Inf,0.535124711459371,0.575551725335069
"wsld",0.55931221197678,0.0103532452801738,Inf,0.539383911826541,0.579976791311789
"COSNet",0.481156451476246,0.00956816032363131,Inf,0.462763957203331,0.500279953080897
"bagsvm",0.588419604261886,0.0106334102085249,Inf,0.567943267167187,0.609634184778163
"rf",0.311175713104361,0.00763390682018214,Inf,0.296567545413752,0.326503442212183
"svm",0.358294309455302,0.00820962602727857,Inf,0.342559693928029,0.374751654860549
