"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0122133790039648,0.000122716950127786,Inf,0.0119751825195996,0.0124562536852326
"randomraw",0.0109078740028602,0.000115931662227149,Inf,0.010682977014622,0.0111374522007467
"random",0.0105826976503346,0.000114180131291387,Inf,0.0103612337037888,0.0108088435292736
"EGAD",0.0169063671789519,0.00014454910113423,Inf,0.0166253768314296,0.0171920235993788
"ppr",0.0213494314647833,0.000162589014644019,Inf,0.0210330784730632,0.0216704373112615
"raw",0.0217256567598324,0.000164027275622381,Inf,0.0214064843410679,0.0220494808389443
"gm",0.0133170453466693,0.000128178765301652,Inf,0.013068143244427,0.013570622971086
"mc",0.021520200310764,0.00016324338203528,Inf,0.0212025645623761,0.0218424883731985
"z",0.0246447055426865,0.000174791827185524,Inf,0.0243044309332671,0.0249896221560938
"knn",0.0189101930234191,0.000152943209299407,Inf,0.0186127484083253,0.0192122979543481
"wsld",0.0184128030992045,0.000150902268927378,Inf,0.0181193592062713,0.0187109087686052
"COSNet",0.0172344799339706,0.000145955912617279,Inf,0.0169507319600145,0.017522893061442
"bagsvm",0.0220388851721449,0.000165215339006365,Inf,0.0217173837797947,0.0223650372216221
"rf",0.0149286648318349,0.000135768165393991,Inf,0.0146648865864995,0.0151971144958966
"svm",0.0150449467924247,0.000136299759461327,Inf,0.0147801265462204,0.0153144381524185
