"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0714094554044062,0.00055480192779332,Inf,0.0703296767840753,0.072504519068836
"randomraw",0.0402986631226659,0.0004207389200981,Inf,0.0394820651336915,0.0411314273656754
"random",0.0474220525467077,0.000455494761946825,Inf,0.0465372419845632,0.0483228333672238
"EGAD",0.115746138199569,0.000694941592758222,Inf,0.114391027271447,0.117115179287265
"ppr",0.121963908447208,0.000711563858248983,Inf,0.120576120946076,0.123365428199997
"raw",0.127738202812207,0.000726469805739408,Inf,0.126321108764978,0.129168843766101
"gm",0.0558401082835199,0.000493039429206651,Inf,0.0548815988106436,0.0568143518412117
"mc",0.141442491389012,0.000759960718015941,Inf,0.139959536283609,0.142938547828166
"z",0.137956676292303,0.000751681680329626,Inf,0.136490004179067,0.139436563810179
"knn",0.0950820962178771,0.000634900474304122,Inf,0.0938449804634318,0.0963337865602933
"wsld",0.0917730584325228,0.00062451271990774,Inf,0.0905563518851912,0.0930044407476009
"COSNet",0.0711866933066034,0.000553976726702454,Inf,0.0701085352222744,0.0722801429666043
"bagsvm",0.126096659841685,0.000722282508117627,Inf,0.12468779881932,0.127519120610451
"rf",0.0802583354139187,0.000586414330614045,Inf,0.0791164701735878,0.0814152238525986
"svm",0.0718616014327012,0.000556472190951813,Inf,0.0707785427135589,0.0729599319294046
