"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0396691366175394,0.000422792206502558,Inf,0.038848726373965,0.0405061421905598
"randomraw",0.0190286893081908,0.000293086628412265,Inf,0.0184626724908985,0.019611711992308
"random",0.0226429996654168,0.000319715848022831,Inf,0.0220247658606491,0.0232781741925367
"EGAD",0.0638166709817069,0.000534548489526845,Inf,0.0627769547120802,0.0648724151857117
"ppr",0.0771390621503843,0.00058619445170746,Inf,0.0759979545007943,0.0782958516721237
"raw",0.0703845909198927,0.000560709896697722,Inf,0.0692935183417001,0.0714915235191333
"gm",0.0322044009540877,0.000381152386938088,Inf,0.031465674370962,0.0329598805818055
"mc",0.0880318407172013,0.000624660563556095,Inf,0.0868151957294596,0.0892638693359994
"z",0.0875496299597628,0.00062302034945684,Inf,0.0863362063067977,0.0887784507195493
"knn",0.0515122068548143,0.000481158355286451,Inf,0.0505772761082381,0.0524634649830152
"wsld",0.0497222207134667,0.000472833220718112,Inf,0.0488036266602533,0.0506571839719287
"COSNet",0.0419756362396641,0.000434816597002346,Inf,0.0411316353704086,0.0428361819100821
"bagsvm",0.0671116184034972,0.000547854204841598,Inf,0.0660457832111098,0.0681933979656408
"rf",0.0403862772311736,0.000426569191287096,Inf,0.0395584570639269,0.0412306771062642
"svm",0.0382026331710351,0.000414955885248043,Inf,0.0373975963218842,0.039024297043969
