"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0502860217107014,0.00164413222258048,NA,0.0471596366945,0.0536080055559182
"randomraw",0.0234486094099142,0.00112630747214704,NA,0.0213396104353349,0.0257605548494366
"random",0.0225306071673491,0.00110411590326458,NA,0.0204651470482482,0.0247992477673702
"EGAD",0.161437095505203,0.002857363037634,NA,0.155914898246971,0.167116155117748
"ppr",0.254943481552876,0.00343869432468858,NA,0.248262556771459,0.26174159568762
"raw",0.265204696238798,0.00348748595859215,NA,0.258425872966352,0.272096092278052
"gm",0.0660336156649954,0.00187893565219498,NA,0.0624450272063152,0.0698130765867505
"mc",0.196075778226527,0.00310431766971484,NA,0.190062714082345,0.202231579404939
"z",0.250758479294842,0.00341803705525535,NA,0.244118960348801,0.257517057976146
"knn",0.293974024767626,0.00361078968039804,NA,0.286947051902214,0.30110041452556
"wsld",0.298178386402039,0.0036272073168194,NA,0.291118275406726,0.305335967762483
"COSNet",0.0963474654690138,0.00225414192684508,NA,0.0920190171981475,0.100856902008322
"bagsvm",0.264258857935211,0.00348309744199718,NA,0.257488846095118,0.27114186985052
"rf",0.351109293786035,0.00380116528976918,NA,0.343695901349976,0.358595221001911
"svm",0.293525282317597,0.00360901382755077,NA,0.286501892350222,0.300648296597044
