"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",1.85900613774396,0.0663379001589141,NA,1.73342889876761,1.99368074607889
"randomraw",0.980262778790842,0.0481294240338414,NA,0.890327525907595,1.07928272183115
"random",0.99690977997328,0.0485378119596586,NA,0.906175521685198,1.09672914973268
"EGAD",6.44102508265243,0.124036727782224,NA,6.20244826031879,6.68877874899442
"ppr",9.45249494906501,0.150702024765695,NA,9.16169156652885,9.75252878939167
"raw",10.4848819454074,0.15887748156283,NA,10.1780664651335,10.8009463079969
"gm",3.24234467450703,0.0877285713715126,NA,3.07487950335972,3.41893039282269
"mc",7.43848066595447,0.133425061531002,NA,7.18151576443468,7.70464013903535
"z",9.71229733355299,0.152797526472386,NA,9.41738977219462,10.0164399878458
"knn",12.5911369910778,0.174460556882675,NA,12.2538018057016,12.9377586843556
"wsld",13.2261791640857,0.178915458717367,NA,12.880119153216,13.5815370339036
"COSNet",4.28919545903105,0.101005829895651,NA,4.09572678690533,4.49180295536101
"bagsvm",10.4270267925593,0.158429656593869,NA,10.1210883975286,10.7422130370185
"rf",13.9586472312766,0.183932555435565,NA,13.6027614470983,14.3238439698426
"svm",12.107009438471,0.170993775794448,NA,11.7764639211855,12.4468328119728
