"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0717357431997987,0.000957164349157755,Inf,0.0698822214921532,0.0736345348117144
"randomraw",0.0396987595337346,0.000718669963360511,Inf,0.0383139025073281,0.0411315313609087
"random",0.0474259259581271,0.000783888372134173,Inf,0.0459129653432316,0.048986183059745
"EGAD",0.116530449722063,0.00120067622565876,Inf,0.11419771657266,0.118904437570602
"ppr",0.122463957030877,0.00122797640784621,Inf,0.120077445649623,0.1248911676367
"raw",0.128269657415539,0.00125379562810198,Inf,0.125832273508703,0.130747192253312
"gm",0.0551735819344132,0.000843656636223871,Inf,0.0535431865807269,0.0568506409298539
"mc",0.142035314884607,0.00131175672737803,Inf,0.13948368411876,0.144625778544956
"z",0.138616554954124,0.00129776927863608,Inf,0.136092500616831,0.141179771815854
"knn",0.0950013176474726,0.00109287690985134,Inf,0.0928808239354261,0.0971650372550753
"wsld",0.0916213181996826,0.00107454550812244,Inf,0.0895368995160687,0.0937492655561604
"COSNet",0.0710023015750638,0.000952480278261021,Inf,0.0691579903265199,0.0728919455773832
"bagsvm",0.126644057907787,0.00124665233261554,Inf,0.124220749850834,0.129107670885878
"rf",0.0802074362097728,0.00100932130716548,Inf,0.0782513390343199,0.0822080701080911
"svm",0.074361845199523,0.000973707691882146,Inf,0.0724757916893048,0.0762929427528655
