"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",1.65708695541472,0.0337212743742582,Inf,1.59229516300726,1.72451517884383
"randomraw","string",1.16534477967593,0.0282696036576698,Inf,1.11123394302827,1.22209050941796
"random","string",0.850640308735133,0.0241483025312889,Inf,0.804603140613254,0.899311596389612
"EGAD","string",9.29434802233679,0.0802403388049421,Inf,9.13840292990195,9.45295428784979
"ppr","string",12.2133218639493,0.0921466010086272,Inf,12.0340466242875,12.3952678271475
"raw","string",12.9001650283986,0.0947420937241795,Inf,12.7158040101343,13.0871990184253
"gm","string",5.85697550994827,0.0635621562606143,Inf,5.73371154993728,5.98288941209627
"mc","string",8.79865998344594,0.0780474951479636,Inf,8.64701177373514,8.952967745394
"z","string",12.869387299467,0.094627221177671,Inf,12.6852513695816,13.0561961003651
"knn","string",12.2497114864754,0.0922858346433393,Inf,12.070163422801,12.4319303927921
"wsld","string",12.3776451232597,0.0927737711236651,Inf,12.1971409635461,12.5608205443593
"COSNet","string",7.68241927318948,0.0728787365497024,Inf,7.54089929613081,7.82659515415565
"bagsvm","string",12.741102919333,0.0941470047798945,Inf,12.5579079556106,12.9269703341398
"rf","string",15.996965748283,0.105702926440217,Inf,15.7911275835754,16.2054870241128
"svm","string",14.4022234232685,0.100198131318198,Inf,14.207171553402,14.5999531823823
"pr","omnipath",2.41399110395628,0.0407195903724799,Inf,2.33548703486994,2.49513397547273
"randomraw","omnipath",1.18463566343796,0.0285033725903388,Inf,1.13006688201797,1.24183946757479
"random","omnipath",1.01171919206123,0.0263382639110604,Inf,0.961392010880251,1.06468091267769
"EGAD","omnipath",4.72135622961907,0.0570282973569465,Inf,4.61089550357214,4.83446320344789
"ppr","omnipath",8.06551869684308,0.0746914006465265,Inf,7.92044678150199,8.21324776792315
"raw","omnipath",10.2120679966922,0.0841560602982001,Inf,10.048450065044,10.3783501031517
"gm","omnipath",6.1197699646678,0.0649830806223186,Inf,5.9937216736274,6.24846905808765
"mc","omnipath",8.93746666406935,0.0786674468777599,Inf,8.78460365633392,9.09298967788451
"z","omnipath",9.34695952478407,0.0804697287628251,Inf,9.19056494274578,9.50601545195656
"knn","omnipath",9.65140475227898,0.0817850660373099,Inf,9.49243276925696,9.8130390761361
"wsld","omnipath",9.34239986123865,0.0804498730258788,Inf,9.18604418651065,9.50141686618924
"COSNet","omnipath",4.81114652712908,0.0575712232128574,Inf,4.69962192810573,4.92531766589065
"bagsvm","omnipath",10.0898339393397,0.0836445994307814,Inf,9.92721821095189,10.2551134426699
"rf","omnipath",9.567577091713,0.0814249166329188,Inf,9.409310820396,9.72850542969086
"svm","omnipath",8.12181300446165,0.0749542082181369,Inf,7.97622611480572,8.27005723383371
