"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"raw","block","omnipath",0.0857570402386492,0.00104939280430865,Inf,0.0837224942383436,0.0878362882994657
"gm","block","omnipath",0.0508372585296037,0.000762542997477289,Inf,0.0493633250918189,0.0523527782773364
"mc","block","omnipath",0.051474619280078,0.00076828958493272,Inf,0.0499894613474778,0.0530014387457529
"z","block","omnipath",0.0770614944407444,0.000982549022957962,Inf,0.0751576522547885,0.0790094434271479
"knn","block","omnipath",0.0693440740646021,0.000920924523629033,Inf,0.0675606921185679,0.0711709383164433
"wsld","block","omnipath",0.0645595835240946,0.000881518255198449,Inf,0.0628532130055847,0.0663090016322275
"COSNet","block","omnipath",0.0322810821532602,0.000582661456426344,Inf,0.0311584074954828,0.0334428118082005
"bagsvm","block","omnipath",0.0844671598091459,0.00103963969880964,Inf,0.0824516874586943,0.0865272529469924
"rf","block","omnipath",0.0814997850151188,0.00101699177994152,Inf,0.0795286003130194,0.083515394328052
"svm","block","omnipath",0.0607545807303968,0.000849461733475519,Inf,0.0591108484469809,0.0624409879278481
"pr","representative","omnipath",0.0124683738784665,0.000350747237861766,Inf,0.011799307542097,0.0131748730567269
"randomraw","representative","omnipath",0.00806621394209501,0.000278229894557766,Inf,0.00753878122192552,0.00863022634639408
"random","representative","omnipath",0.00642831466633409,0.000247043028988427,Inf,0.00596179849381975,0.00693108161622647
"EGAD","representative","omnipath",0.0218867471073314,0.000477355049560623,Inf,0.0209704408025904,0.0228421573957599
"ppr","representative","omnipath",0.0496417127618859,0.000765004106624359,Inf,0.0481636129758804,0.05116273589744
"raw","representative","omnipath",0.0906551274276373,0.00109925797071796,Inf,0.0885235470799258,0.0928328070454689
"gm","representative","omnipath",0.0538583674351249,0.000803004199199619,Inf,0.0523060218667373,0.055454087918447
"mc","representative","omnipath",0.0545314285777624,0.000808973528436204,Inf,0.0529674190464444,0.0561388822232255
"z","representative","omnipath",0.0815072060406928,0.00103054195195461,Inf,0.0795100518191875,0.0835499719802196
"knn","representative","omnipath",0.0733799624434395,0.000967016814518331,Inf,0.0715070378507808,0.0752979647082598
"wsld","representative","omnipath",0.0683374574502275,0.00092630894900701,Inf,0.0665441213765901,0.0701754898424564
"COSNet","representative","omnipath",0.0342392312206739,0.000615466538114018,Inf,0.0330532221163423,0.035466235567575
"bagsvm","representative","omnipath",0.0892987703482866,0.00108924413852448,Inf,0.0871867826807472,0.0914567923475296
"rf","representative","omnipath",0.0861776356573442,0.00106597430444565,Inf,0.0841111727714825,0.0882899738149709
"svm","representative","omnipath",0.0643251059944487,0.000893144626723223,Inf,0.0625965992570709,0.0660979772027306
