"network","method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"string","pr","classic",0.599757220894816,0.0261363148911863,NA,0.550657666656578,0.653234751455495
"omnipath","pr","classic",1.12117388593059,0.0357954781918283,NA,1.05316603531996,1.19357332114382
"string","randomraw","classic",0.165720411606656,0.0137177832080306,NA,0.140901746800535,0.194910676742406
"omnipath","randomraw","classic",0.340781420278889,0.0196844615768719,NA,0.304304372461415,0.381630981730378
"string","random","classic",0.292421192137995,0.018231525007229,NA,0.258785031558834,0.330429287568612
"omnipath","random","classic",0.34439713815332,0.0197889796832904,NA,0.307715725271425,0.385451177912913
"string","EGAD","classic",6.48373562222386,0.087572502587204,NA,6.3143485892923,6.65766658657125
"omnipath","EGAD","classic",2.58433442999436,0.0546050860046965,NA,2.47949622204188,2.69360541334249
"string","ppr","classic",8.36707272781519,0.100069334330838,NA,8.17322134504091,8.56552185204502
"omnipath","ppr","classic",4.62992688017571,0.0735687794059043,NA,4.48795691812326,4.77638785461818
"string","raw","classic",9.80492324663528,0.108810298539938,NA,9.59396158274702,10.0205237474885
"omnipath","raw","classic",7.34834418545645,0.0934821159212083,NA,7.1673879363736,7.53386906740427
"string","gm","classic",7.88241586288257,0.0969812893560781,NA,7.69460954888308,8.07480606269901
"omnipath","gm","classic",6.5375194272531,0.0879498735132234,NA,6.36739360264469,6.71219072179864
"string","mc","classic",2.32641321370794,0.0517655280103706,NA,2.22713521352107,2.43011668445505
"omnipath","mc","classic",4.4886125689169,0.0724047451348995,NA,4.34892172456925,4.63279039491895
"string","z","classic",9.49969638670957,0.107002452498928,NA,9.29227345397711,9.7117494321089
"omnipath","z","classic",6.86896024257222,0.0902457212009344,NA,6.69433979984894,7.04813562273945
"string","knn","classic",8.24353569665012,0.0992896771819723,NA,8.05121053579967,8.44045506943078
"omnipath","knn","classic",6.7017332857521,0.0890936096282492,NA,6.5293683405381,6.87864839153127
"string","wsld","classic",8.36089587625628,0.100030477191727,NA,8.1671205586173,8.55926875964156
"omnipath","wsld","classic",6.38445403254209,0.0868723086276449,NA,6.21643780153031,6.55701136165292
"string","COSNet","classic",8.29701819185536,0.0996277816720607,NA,8.10403116996904,8.4946009500901
"omnipath","COSNet","classic",3.94746011045102,0.0677827866464732,NA,3.81681898499193,4.08257278767306
"string","bagsvm","classic",9.83686208883869,0.1089981058905,NA,9.62553280813838,10.0528311194387
"omnipath","bagsvm","classic",7.30435294996861,0.0931890432508728,NA,7.1239704351156,7.4893028408321
"string","rf","classic",12.6574234272039,0.124711471197821,NA,12.4153384338398,12.9042288028858
"omnipath","rf","classic",7.36190312790119,0.0935722927453883,NA,7.18077034427347,7.54760493180553
"string","svm","classic",10.1452527020014,0.110798661322012,NA,9.930399015173,10.3647549539755
"omnipath","svm","classic",6.11508304263735,0.0849477599526129,NA,5.9508346238066,6.2838648664094
"string","pr","block",0.224246320609906,0.0098207275771573,NA,0.205801002473475,0.244344836529947
"omnipath","pr","block",0.419201486742815,0.0135072099712,NA,0.393546457958536,0.446528949590753
"string","randomraw","block",0.0619620594101511,0.00513607840867356,NA,0.0526707076143764,0.072892447818551
"omnipath","randomraw","block",0.127416522831929,0.00738073144108127,NA,0.113741522056749,0.142735651827126
"string","random","block",0.109334867711093,0.00683322342142108,NA,0.0967297776898363,0.123582557335478
"omnipath","random","block",0.128768422236317,0.00742014156411331,NA,0.115016408659931,0.144164704483656
"string","EGAD","block",2.42423735211029,0.0343965639833454,NA,2.35775008806854,2.49259952066468
"omnipath","EGAD","block",0.966270128914995,0.0208440683312988,NA,0.926268101507669,1.00799969308418
"string","ppr","block",3.12840797596183,0.0398096072549761,NA,3.05134755328754,3.20741452527002
"omnipath","ppr","block",1.73110724039851,0.0285175091368961,NA,1.67610664608245,1.78791265147976
"string","raw","block",3.66601332225744,0.0436927203917562,NA,3.58136962904863,3.75265752240692
"omnipath","raw","block",2.74751030709607,0.0369362455526784,NA,2.67606201945934,2.82086619544202
"string","gm","block",2.94719712108071,0.0384569754575129,NA,2.8727785148673,3.02354352260521
"omnipath","gm","block",2.44434685636639,0.0345576758394493,NA,2.37754485792635,2.51302579394418
"string","mc","block",0.869834635111071,0.0197206722904138,NA,0.832029010002782,0.909358067258111
"omnipath","mc","block",1.67827050372357,0.0280373154228187,NA,1.62420829311618,1.7341321895757
"string","z","block",3.55189047737107,0.0428829742397951,NA,3.46882802969765,3.6369418879318
"omnipath","z","block",2.56827097223509,0.0355409711840901,NA,2.49954814379533,2.63888327304229
"string","knn","block",3.0822180782287,0.0394671571229835,NA,3.00582647854962,3.16055113279321
"omnipath","knn","block",2.50574562286497,0.0350468600021851,NA,2.43798801021435,2.57538638426482
"string","wsld","block",3.12609848107493,0.0397925241473231,NA,3.04907142249381,3.20507143298931
"omnipath","wsld","block",2.38711644649248,0.0340980051681454,NA,2.32121242931685,2.45489161489281
"string","COSNet","block",3.10221492420067,0.0396155885432415,NA,3.02553342844127,3.18083989602173
"omnipath","COSNet","block",1.47593621999635,0.0261429503333555,NA,1.42557619693256,1.52807526541507
"string","bagsvm","block",3.67795510069567,0.0437770392070381,NA,3.59314675524309,3.7647651610651
"omnipath","bagsvm","block",2.73106219717167,0.0368094526832943,NA,2.65986157299672,2.80416875845792
"string","rf","block",4.73254932673814,0.0509644775436381,NA,4.63370756778962,4.83349948229328
"omnipath","rf","block",2.75257993001793,0.0369752768184162,NA,2.68105540322954,2.82601257027764
"string","svm","block",3.7932608575971,0.0445873239377987,NA,3.70687026731986,3.88166482669536
"omnipath","svm","block",2.2863999377774,0.0332799340832357,NA,2.22209410020677,2.35256674097737
"string","pr","representative",0.219930867599127,0.00963322149678996,NA,0.201837842036719,0.239645777198239
"omnipath","pr","representative",0.41113426711947,0.0132510504473839,NA,0.385966001185662,0.437943718049285
"string","randomraw","representative",0.060769645839626,0.00503745543408948,NA,0.051656737604846,0.0714901874702813
"omnipath","randomraw","representative",0.124964486983214,0.00723933336395369,NA,0.111551534111742,0.139990212876275
"string","random","representative",0.107230799814846,0.00670223102151969,NA,0.094867404673732,0.121205428444859
"omnipath","random","representative",0.126290370092935,0.00727799522708547,NA,0.112801868028578,0.141391785942497
"string","EGAD","representative",2.37758471428082,0.0337841961570301,NA,2.31228246221419,2.44473119783502
"omnipath","EGAD","representative",0.947674981731709,0.0204559404436736,NA,0.90841833787219,0.988628073167049
"string","ppr","representative",3.06820410023228,0.0391148111447146,NA,2.99249032857667,3.14583352560399
"omnipath","ppr","representative",1.69779337405618,0.027999203113654,NA,1.64379336142034,1.75356733312172
"string","raw","representative",3.5954636330315,0.0429410970131263,NA,3.51227803652757,3.680619416233
"omnipath","raw","representative",2.69463652261366,0.0362847220212169,NA,2.62445002786444,2.76670003692617
"string","gm","representative",2.89048051295563,0.0377824167596084,NA,2.81736887137819,2.96548942548983
"omnipath","gm","representative",2.3973072261419,0.0339427980961314,NA,2.33169516128015,2.46476556281778
