"method","rate","SE","df","asymp.LCL","asymp.UCL"
"pr",2.00004829163026,0.0264648130252678,Inf,1.94884504423436,2.052596834565
"randomraw",1.17495063139068,0.020087106056387,Inf,1.13623292202285,1.21498766621515
"random",0.92769021008536,0.0178765964458489,Inf,0.893306129973173,0.963397761430413
"EGAD",6.62434358525488,0.0493653877657511,Inf,6.52829236709909,6.72180801164193
"ppr",9.92505797687076,0.0596305011268353,Inf,9.80886977847038,10.0426224497811
"raw",11.4776897692243,0.0637904741954254,Inf,11.3533412341417,11.6034002433043
"gm",5.98693100090324,0.0456180919243499,Inf,5.89818550305308,6.07701178456031
"mc",8.86779173698441,0.0557093465432206,Inf,8.75927288654465,8.97765503017112
"z",10.9676634793783,0.0624986576606952,Inf,10.8458498805054,11.0908452101204
"knn",10.8732204822037,0.0620512264149927,Inf,10.7522799407437,10.9955213504641
"wsld",10.7534603771067,0.0617830530988533,Inf,10.6330470656645,10.8752373019592
"COSNet",6.07957603835622,0.0465880415418768,Inf,5.98894744678629,6.17157607986504
"bagsvm",11.3382367526924,0.0633904734610597,Inf,11.2146719483535,11.4631630111106
"rf",12.3714268793131,0.0671360260112386,Inf,12.2405399856477,12.5037133336966
"svm",10.8153670992835,0.0628961775341191,Inf,10.6927927387602,10.9393465626854
