"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.103790181319792,0.0010169236815132,Inf,0.101813901298299,0.105800303669559
"randomraw",0.0614374245887029,0.00079167602496843,Inf,0.0599039575719698,0.063007515503703
"random",0.0465518735355094,0.000691267941813381,Inf,0.0452156130749215,0.0479256423624088
"EGAD",0.278892719835548,0.00159205601421573,Inf,0.275783077764772,0.28202377091391
"ppr",0.414628094607731,0.00173686082346661,Inf,0.411228036897737,0.418036304370338
"raw",0.47170142443489,0.00173693183501055,Inf,0.468298469060446,0.475107011872046
"gm",0.165278402567876,0.00126017083628761,Inf,0.162823290790942,0.167763115141582
"mc",0.405981284323075,0.00170316400655374,Inf,0.402647535998675,0.409323720934475
"z",0.445421146342729,0.00173421866089064,Inf,0.44202474452579,0.448822653335458
"knn",0.422817323914286,0.00171657056438289,Inf,0.41945653671773,0.4261852707314
"wsld",0.419920622419002,0.00171639648825071,Inf,0.416560316826406,0.423288368718497
"COSNet",0.200936669055795,0.00136997251046299,Inf,0.198264996370336,0.2036351990981
"bagsvm",0.459382874368621,0.001735017856036,Inf,0.455984245126487,0.462785285991335
"rf",0.455633109340688,0.00174967873560879,Inf,0.452205958913921,0.459064466851106
"svm",0.394081511643526,0.00171655626436295,Inf,0.390722192123806,0.397450872704363
