"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.820019593647357,0.0222059793104945,Inf,0.777631507754751,0.864718220982434
"randomraw","classic",0.237643508719507,0.0120024079042056,Inf,0.215246067170068,0.262371517301161
"random","classic",0.317346847641043,0.0134672878500052,Inf,0.29201935831258,0.344871046528044
"EGAD","classic",4.09342658459804,0.0519301304083391,Inf,3.99290034790637,4.19648369443526
"ppr","classic",6.22406096780042,0.0630457895516014,Inf,6.10171201811087,6.34886320690214
"raw","classic",8.48822423880632,0.0734957351057878,Inf,8.34539064815447,8.63350246452423
"gm","classic",7.17854071781187,0.0668849718746925,Inf,7.04863830929782,7.31083715407954
"mc","classic",3.23146523910498,0.0448408266775711,Inf,3.14476319901638,3.32055767976743
"z","classic",8.07793518151855,0.0716134011508115,Inf,7.93878788536858,8.21952138525813
"knn","classic",7.43276379084696,0.068192804004667,Inf,7.3003028717439,7.56762815750527
"wsld","classic",7.30614504323785,0.0676731927569858,Inf,7.17470472774629,7.43999334026902
"COSNet","classic",5.72294927009104,0.0609652311009969,Inf,5.60469839070787,5.84369506882582
"bagsvm","classic",8.47655074998333,0.073462440984359,Inf,8.33378297962906,8.62176430471928
"rf","classic",9.65311996817108,0.0798239483812437,Inf,9.49792892372762,9.81084675071795
"svm","classic",7.87648797125215,0.0712308065245287,Inf,7.73810816162944,8.01734241308614
"pr","block",0.306601355176846,0.00840897404096635,Inf,0.290555211021252,0.323533660490443
"randomraw","block",0.0888537571380463,0.00450422918103138,Inf,0.080450021685748,0.0981353390852539
"random","block",0.118654449602928,0.00506169515700469,Inf,0.109137126500965,0.129001732608833
"EGAD","block",1.53051237784742,0.0205243811681389,Inf,1.49080938016058,1.57127273943758
"ppr","block",2.32714625627784,0.02565097202083,Inf,2.27741044818937,2.37796823247807
"raw","block",3.17370593925364,0.0307476276015304,Inf,3.11401025901705,3.23454598766582
"gm","block",2.68402161280526,0.0275951465277987,Inf,2.6304774136171,2.73865572109199
"mc","block",1.20822920475548,0.0175689810230105,Inf,1.17428069930127,1.24315916296052
"z","block",3.02030084753,0.0298208184712455,Inf,2.96241501623321,3.07931777269667
"knn","block",2.77907438875551,0.0282134477816113,Inf,2.72432356288889,2.83492554388328
"wsld","block",2.73173225216696,0.0279499662561469,Inf,2.67749694763592,2.78706614553491
"COSNet","block",2.13978301910288,0.024618933397744,Inf,2.09207077495721,2.1885833995911
"bagsvm","block",3.16934127831078,0.0307279934272008,Inf,3.10968413380914,3.23014290396773
"rf","block",3.6092548115365,0.0337174298127585,Inf,3.54377119083935,3.67594847214556
"svm","block",2.9449807111055,0.0295491628432456,Inf,2.88763117564636,3.00346923178031
"pr","representative",0.300701041014687,0.00825039456414471,Inf,0.284957665854248,0.317314208046488
"randomraw","representative",0.0871438329229354,0.0044180575089011,Inf,0.0789009180793865,0.0962478992812188
"random","representative",0.116371033311465,0.00496509408050319,Inf,0.1070354083308,0.126520911212157
"EGAD","representative",1.50105880986444,0.0201625129293726,Inf,1.46205666063485,1.54110138911667
"ppr","representative",2.28236206409639,0.0252185596859345,Inf,2.23346596017941,2.33232862488215
"raw","representative",3.11263033804142,0.0302508694389846,Inf,3.0539008504815,3.17248925084398
"gm","representative",2.63236962084181,0.0271397854514971,Inf,2.57971045960077,2.68610370398049
"mc","representative",1.1849777358119,0.0172549857434912,Inf,1.1516366243282,1.21928410811789
"z","representative",2.96217741277093,0.0293356161463927,Inf,2.90523508328475,3.02023580646339
"knn","representative",2.7255931770883,0.027749862598885,Inf,2.67174351297186,2.78052819476183
"wsld","representative",2.67916210457126,0.0274894953010296,Inf,2.62582182268981,2.73358592747845
"COSNet","representative",2.09860449252957,0.0241990957910728,Inf,2.05170708321098,2.14657387114573
"bagsvm","representative",3.10834967173961,0.0302314128355987,Inf,3.04965836600694,3.16817050378481
"rf","representative",3.53979739747169,0.033180541453867,Inf,3.47535847517097,3.60543112449168
"svm","representative",2.88830675613554,0.0290655997878248,Inf,2.83189735158096,2.94583979637572
