disease.id	disease.efo_info.label	target.id	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	known_drug_binary
EFO_0000270	asthma	ENSG00000146383	0.0488	0.0	0.0	0.0	0.0	0.0	0.0488	0.0	0
EFO_0000270	asthma	ENSG00000112796	0.048762701874368854	0.0	0.0	0.0	0.0	0.048762701874368854	0.0	0.0	0
EFO_0000270	asthma	ENSG00000104365	0.048709824291148965	0.0	0.0	0.0	0.0	0.0	0.048709824291148965	0.0	0
EFO_0000270	asthma	ENSG00000137077	0.048587111111111116	0.0	0.0	0.0	0.0	0.0	0.048587111111111116	0.0	0
EFO_0000270	asthma	ENSG00000049759	0.04857818388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.016900000000000002	0.0	0
EFO_0000270	asthma	ENSG00000170558	0.0485	0.0	0.0	0.0	0.0	0.0	0.0485	0.0	0
EFO_0000270	asthma	ENSG00000164171	0.0485	0.0	0.0	0.0	0.0	0.0	0.0485	0.0	0
EFO_0000270	asthma	ENSG00000153086	0.048422574868680894	0.048422574868680894	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000154217	0.048422574868680894	0.048422574868680894	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000105698	0.048418743764172344	0.0	0.0	0.0	0.0	0.0	0.048418743764172344	0.0	0
EFO_0000270	asthma	ENSG00000164161	0.0484	0.0	0.0	0.0	0.0	0.0	0.0484	0.0	0
EFO_0000270	asthma	ENSG00000154319	0.0484	0.0	0.0	0.0	0.0	0.0	0.0484	0.0	0
EFO_0000270	asthma	ENSG00000136573	0.0484	0.0	0.0	0.0	0.0	0.0	0.0484	0.0	0
EFO_0000270	asthma	ENSG00000107968	0.04839644506007611	0.0	0.0	0.0	0.0	0.04439644506007611	0.016	0.0	0
EFO_0000270	asthma	ENSG00000151466	0.04835987355334387	0.0	0.0	0.0	0.0	0.04835987355334387	0.0	0.0	0
EFO_0000270	asthma	ENSG00000225101	0.048345659095286576	0.0	0.0	0.0	0.0	0.048345659095286576	0.0	0.0	0
EFO_0000270	asthma	ENSG00000099194	0.0483	0.0	0.0	0.0	0.0	0.0	0.0483	0.0	0
EFO_0000270	asthma	ENSG00000085662	0.048209151927437646	0.0	0.0	0.0	0.0	0.0	0.048209151927437646	0.0	0
