"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.0646900552299309,0.000836931597890855,Inf,0.0630689307149353,0.066349898279172
"randomraw","classic","string",0.0306778114284849,0.000553971615226516,Inf,0.0296104559933201,0.031782381244012
"random","classic","string",0.0248390330839006,0.000494427680272053,Inf,0.0238881752082407,0.0258267379973742
"EGAD","classic","string",0.0465179174071939,0.000695935090787061,Inf,0.0451727748248321,0.0479011058131173
"ppr","classic","string",0.0933719280926241,0.00103072715550653,Inf,0.0913712492077303,0.0954118141167651
"raw","classic","string",0.0665586973143318,0.000850490628151493,Inf,0.0649110265235162,0.0682451394028005
"gm","classic","string",0.0265315804577912,0.000512228973664557,Inf,0.0255458950324745,0.0275542230115729
"mc","classic","string",0.0753033100907911,0.000912044424648305,Inf,0.0735351109189004,0.07711048798418
"z","classic","string",0.0717813980644634,0.00088761378270287,Inf,0.070061039849944,0.0735406592299788
"knn","classic","string",0.0514089088854578,0.000735719608386825,Inf,0.0499859041980165,0.0528701693634505
"wsld","classic","string",0.0501006665106112,0.00072522782738928,Inf,0.0486981959719388,0.0515413387947972
"COSNet","classic","string",0.0703228612450572,0.00087735712758438,Inf,0.0686225866364168,0.072062004369027
"bagsvm","classic","string",0.0605845158051818,0.000806590699764252,Inf,0.0590227892241458,0.0621848344008302
"rf","classic","string",0.0355246768069903,0.000599975511531994,Inf,0.0343673099207264,0.0367195375156655
"svm","classic","string",0.0376857348443613,0.000619672826143587,Inf,0.0364898263970079,0.0389192545089443
"pr","block","string",0.0621195380381874,0.000808774747011205,Inf,0.0605531274215261,0.0637237205925067
"randomraw","block","string",0.0294162951137899,0.000533000598333961,Inf,0.0283894286503644,0.0304791389408408
"random","block","string",0.0238117177313825,0.000475317337092165,Inf,0.0228976793939861,0.0247613183646855
"EGAD","block","string",0.0446350268387743,0.000671011333198548,Inf,0.0433381845079088,0.0459688108973443
"ppr","block","string",0.0897710994900431,0.00099928938645246,Inf,0.0878316910043943,0.0917490246001527
"raw","block","string",0.0639190023449939,0.000822059919052114,Inf,0.0623265902684627,0.0655492555667019
"gm","block","string",0.0254360891187767,0.000492550072537011,Inf,0.0244883440545767,0.02641952032143
"mc","block","string",0.0723436851785054,0.000882453425569582,Inf,0.0706330568944361,0.0740924394938184
"z","block","string",0.0689498725536681,0.000858466968092581,Inf,0.0672861992594645,0.0706515648147171
"knn","block","string",0.0493382913382379,0.00070981287078564,Inf,0.0479655339035783,0.0507482423875821
"wsld","block","string",0.0480800708083994,0.000699574954612876,Inf,0.0467273444769487,0.0494699254600056
"COSNet","block","string",0.0675446832669226,0.000848403214895901,Inf,0.0659007091500235,0.069226628991962
"bagsvm","block","string",0.0581669903749553,0.000779070371998686,Inf,0.0566587125051903,0.0597128776827466
"rf","block","string",0.0340708559082817,0.000577648184573501,Inf,0.0329566555356641,0.0352213532599963
"svm","block","string",0.0361467888168946,0.0005967867375063,Inf,0.0349951507233562,0.0373348593444608
"pr","representative","string",0.0630343299544801,0.000818815465521851,Inf,0.0614484092231116,0.0646583618778588
"randomraw","representative","string",0.0298648242374487,0.000540464130563832,Inf,0.0288235482783205,0.0309425186935079
"random","representative","string",0.0241769189633759,0.000482116332908866,Inf,0.0232497814797978,0.0251400765498313
"EGAD","representative","string",0.0453047741412195,0.00067988981094222,Inf,0.0439907266540169,0.0466561579422527
"ppr","representative","string",0.0910535637106377,0.0010105187002048,Inf,0.089092271075505,0.0930536219196092
"raw","representative","string",0.0648584611876422,0.000832199387857769,Inf,0.0632463426123287,0.0665087543755781
"gm","representative","string",0.0258255443103236,0.000499552043346731,Inf,0.024864300019207,0.0268229277447326
"mc","representative","string",0.0733972581748021,0.000893012023998804,Inf,0.0716660885153303,0.0751668600498862
"z","representative","string",0.0699577473132131,0.000868864959384562,Inf,0.0682738528465803,0.0716799779576231
"knn","representative","string",0.0500749119805422,0.000719044122213821,Inf,0.0486842508114467,0.0515031466408363
"wsld","representative","string",0.0487988704930869,0.000708715056133392,Inf,0.0474284210005344,0.0502068321310307
"COSNet","representative","string",0.0685335296239918,0.000858731520114733,Inf,0.0668694731521695,0.0702358794666233
