"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.681910629901335,0.00123116918007267,NA,0.67949271443758,0.684318778933104
"randomraw",0.604811009647065,0.00129429409427848,NA,0.602271438641272,0.607344936914392
"random",0.50092226644619,0.00132489422931392,NA,0.498325519944519,0.503518963197221
"EGAD",0.591576957509708,0.00130155162303533,NA,0.589023518045947,0.594125464031163
"ppr",0.681745006310929,0.00123134492586959,NA,0.679326750815601,0.684153504189834
"raw",0.653218558138442,0.00125895575734388,NA,0.650746949527595,0.655681930362301
"gm",0.380629047166878,0.00128586249028191,NA,0.378112038949995,0.383152487495303
"mc",0.611269540458579,0.0012903845849802,NA,0.608737458301328,0.613795632270117
"z",0.606572932291917,0.00129325162306124,NA,0.604035357112565,0.609104769157581
"knn",0.627277071621949,0.00127963948098943,NA,0.624765619427052,0.629781675267782
"wsld",0.627037810243491,0.00127981127104552,NA,0.624526027770442,0.629542756985261
"COSNet",0.517615325524264,0.00132399421979021,NA,0.515019892745336,0.520209808178516
"bagsvm",0.600279301986617,0.00129689278578077,NA,0.597734759524569,0.602818444023032
"rf",0.566027189369817,0.0013127441744961,NA,0.563452500967577,0.568598318987968
"svm",0.533398404183037,0.00132174291723656,NA,0.530806958189097,0.535988049067314
