"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic","string",0.536378899577009,0.0117065858798558,Inf,0.513918233622625,0.559821203235816
"randomraw","classic","string",0.184208563690853,0.0064208541997571,Inf,0.172044171141563,0.197233040281999
"random","classic","string",0.201018827723817,0.00673006121594278,Inf,0.188251617477965,0.214651909188444
"EGAD","classic","string",0.226985520489823,0.00718852891129823,Inf,0.213324622522381,0.241521236052487
"ppr","classic","string",0.794496277759169,0.0148810857375206,Inf,0.765858751352176,0.824204638595178
"raw","classic","string",0.613715505337609,0.0126915158394536,Inf,0.589337959916244,0.639101410581671
"gm","classic","string",0.375930094547284,0.00951955268535309,Inf,0.357727560173555,0.395058842874073
"mc","classic","string",0.802384893283019,0.0149738126155839,Inf,0.773566996084614,0.832276351275953
"z","classic","string",0.499565360465709,0.0112242332785279,Inf,0.478043616087362,0.522056023715682
"knn","classic","string",0.594745263244541,0.0124531284903413,Inf,0.570831630502815,0.619660700722284
"wsld","classic","string",0.507688756213483,0.0113315109017325,Inf,0.485958181237849,0.530391056549454
"COSNet","classic","string",0.509003525467458,0.011348827603274,Inf,0.487239241689301,0.531739988840046
"bagsvm","classic","string",0.596153944588086,0.0124708978953889,Inf,0.572205730941309,0.621104449728744
"rf","classic","string",0.287464906172673,0.00818584233209688,Inf,0.271860457216103,0.303965030909869
"svm","classic","string",0.304885598787842,0.00845852961059256,Inf,0.288749858248024,0.321923026775571
"pr","block","string",0.451748345918472,0.00999930898230162,Inf,0.432569096980938,0.471777964409391
"randomraw","block","string",0.15514389924172,0.00543795533027998,Inf,0.144843563626575,0.166176727976534
"random","block","string",0.169301818163089,0.00570247725221337,Inf,0.15848610171071,0.180855641749884
"EGAD","block","string",0.191171452698055,0.0060952361874049,Inf,0.179590624914725,0.203499065410781
"ppr","block","string",0.669139631702753,0.0127738261629995,Inf,0.644565977790141,0.694650140006419
"raw","block","string",0.516882682408687,0.0108577184132984,Inf,0.496034072567892,0.538607571836574
"gm","block","string",0.316615360012551,0.00810214821032156,Inf,0.301127096739981,0.332900251359437
"mc","block","string",0.675783571308312,0.0128551887958295,Inf,0.651051775445347,0.701454864995684
"z","block","string",0.420743294425863,0.00957979223191877,Inf,0.402380032596201,0.439944593329206
"knn","block","string",0.500905589547699,0.0106497403526805,Inf,0.480461402507134,0.522219700335662
"wsld","block","string",0.427584970329206,0.00967304342170365,Inf,0.409040320064862,0.446970378916281
"COSNet","block","string",0.428692293596799,0.00968809876474212,Inf,0.410118358771895,0.44810742718177
"bagsvm","block","string",0.502092007334407,0.0106652384476313,Inf,0.48161768279672,0.523436727582734
"rf","block","string",0.242108323007344,0.00695186243620021,Inf,0.228859236531777,0.25612442371881
"svm","block","string",0.256780356302954,0.00718661422368691,Inf,0.243074208420457,0.271259348375698
"pr","representative","string",0.334091665261265,0.00762072847342445,Inf,0.319484273765987,0.349366932779926
"randomraw","representative","string",0.114737074570598,0.00407104947485006,Inf,0.10702908700648,0.1230001735904
"random","representative","string",0.125207600366232,0.00427334725192729,Inf,0.117105988144646,0.133869697338674
"EGAD","representative","string",0.141381345519824,0.00457457607256539,Inf,0.13269372473585,0.150637755483816
"ppr","representative","string",0.494863956598144,0.00983261514334664,Inf,0.475962809034974,0.514515695115951
"raw","representative","string",0.382261933376935,0.00830154278271949,Inf,0.366332623627349,0.398883900271238
"gm","representative","string",0.234153713742602,0.00612931418520261,Inf,0.222443444372586,0.246480456253039
"mc","representative","string",0.499777499429615,0.00989794019392355,Inf,0.480749580683858,0.519558537275924
"z","representative","string",0.311161798714401,0.00728929465946615,Inf,0.297198063803431,0.325781614254459
"knn","representative","string",0.370446032758398,0.00813627994400689,Inf,0.354837580622012,0.386741063181297
"wsld","representative","string",0.316221577939665,0.00736289026330383,Inf,0.302114910325521,0.33098692893677
"COSNet","representative","string",0.31704050174491,0.00737477635847041,Inf,0.302910750113529,0.331829358017147
"bagsvm","representative","string",0.371323451121161,0.00814858825270087,Inf,0.355691101810465,0.387642830114995
"rf","representative","string",0.179051840561102,0.00523508589715611,Inf,0.169079716214294,0.189612109164445
"svm","representative","string",0.1899025809806,0.00541691735813671,Inf,0.179576947189619,0.200821936375907
"pr","classic","omnipath",0.656544781519329,0.0141477190807217,Inf,0.629393168674389,0.68486769732206
"randomraw","classic","omnipath",0.225477123163822,0.0078204480748966,Inf,0.210658706173467,0.241337915691788
"random","classic","omnipath",0.246053419389323,0.00819362520748212,Inf,0.230507060803728,0.262648289306541
