"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.593427979989455,0.0124561021006894,Inf,0.569509835709757,0.618350633041283
"randomraw","classic",0.203800924932035,0.00699846161575962,Inf,0.190535607601705,0.217989789551449
"random","classic",0.222399123026775,0.00732614405334335,Inf,0.208493864166877,0.23723177715911
"EGAD","classic",0.251127624553008,0.00781004387498452,Inf,0.236277412502589,0.266911183534929
"ppr","classic",0.878998636209541,0.0156022726358532,Inf,0.848944557587473,0.910116680238712
"raw","classic",0.678990081280065,0.0134415637081151,Inf,0.653149649766633,0.705852832718248
"gm","classic",0.415913893705304,0.010234194422693,Inf,0.396331251559035,0.436464110000521
"mc","classic",0.887726282242827,0.0156929321279869,Inf,0.857495437680591,0.919022909691813
"z","classic",0.552698965167453,0.0119701679376994,Inf,0.529728836837766,0.576665125351159
"knn","classic",0.658002170580971,0.0132038607804464,Inf,0.632625382015116,0.684396909763769
"wsld","classic",0.561686362570778,0.0120784363898096,Inf,0.538505004084786,0.585865623355132
"COSNet","classic",0.563140970242992,0.0120959025374493,Inf,0.539925535975303,0.587354609545128
"bagsvm","classic",0.659560678801202,0.0132215967752605,Inf,0.63414929524753,0.68599033741873
"rf","classic",0.31803957747487,0.00885455757378495,Inf,0.301149965867258,0.335876421400556
"svm","classic",0.337313129131711,0.00913822044698489,Inf,0.319869746825593,0.355707747337119
"pr","block",0.499796148941329,0.0106514978415912,Inf,0.479349597142343,0.521114843917154
"randomraw","block",0.171644952490312,0.00592813808399248,Inf,0.160410542940987,0.183666167916658
"random","block",0.18730870293424,0.00620877306266551,Inf,0.175526601802563,0.199881669414254
"EGAD","block",0.211504384485894,0.0066238638094166,Inf,0.198912267226771,0.224893644220331
"ppr","block",0.740309099193494,0.0134212289388906,Inf,0.714465832409218,0.767087154469798
"raw","block",0.571858151681972,0.0115155542912317,Inf,0.549727675016903,0.594879538555277
"gm","block",0.350290463838253,0.00871572565470192,Inf,0.333617795038121,0.367796355233382
"mc","block",0.747659685993996,0.0135015075444846,Inf,0.721660043812767,0.774596031543173
"z","block",0.465493410538983,0.0102266551648594,Inf,0.44587494572659,0.485975086359942
"knn","block",0.554181740566477,0.0113068346580423,Inf,0.532457998377117,0.576791789236626
"wsld","block",0.473062764803786,0.0103212410611428,Inf,0.453259929189311,0.49373078234395
"COSNet","block",0.47428786260387,0.0103365037334803,Inf,0.454455276760239,0.494985949369943
"bagsvm","block",0.555494345352282,0.0113224015457175,Inf,0.533740267119082,0.57813507192163
"rf","block",0.26785888328975,0.00752263313215943,Inf,0.253513237829662,0.283016310988227
"svm","block",0.28409142914086,0.00776738357534162,Inf,0.269268351075999,0.299730509689634
"pr","representative",0.369625543069748,0.00813640514099443,Inf,0.354017596283952,0.385921613851146
"randomraw","representative",0.126940471457815,0.00443962205481821,Inf,0.118530507507673,0.135947138274839
"random","representative",0.138524638876091,0.00465473049987513,Inf,0.129695466377814,0.147954867750365
"EGAD","representative",0.156418618156277,0.00497394745810609,Inf,0.146967440743836,0.166477581579206
"ppr","representative",0.547497521556521,0.0103740844055461,Inf,0.527537616856528,0.568212628886435
"raw","representative",0.422919184795728,0.00882946525373618,Inf,0.405963031228848,0.440583558376913
"gm","representative",0.259058224443357,0.00660192113064634,Inf,0.246436536930849,0.272326354231217
"mc","representative",0.552933667160628,0.0104396063989913,Inf,0.532846370934239,0.573778216305863
"z","representative",0.344256863583914,0.00779742704811953,Inf,0.329308446596175,0.359883839450871
"knn","representative",0.409846548938232,0.00866161423504067,Inf,0.393216887228601,0.427179501013966
"wsld","representative",0.349854799235763,0.00787279182716231,Inf,0.334759742362765,0.365630525595452
"COSNet","representative",0.350760823503114,0.00788495855952069,Inf,0.335642093777452,0.366560564319922
"bagsvm","representative",0.410817289224681,0.00867412356214172,Inf,0.39416329466565,0.428174940208665
"rf","representative",0.198095734454434,0.0056694629168727,Inf,0.187289700396085,0.20952524311829
"svm","representative",0.210100555996837,0.00585989595315492,Inf,0.198923648001636,0.221905460077915
