"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",2.12213655924232,0.0281682357396413,Inf,2.0676397893318,2.17806970020064
"randomraw","string",1.26945159515459,0.0214246350040611,Inf,1.22814699477064,1.31214533708278
"random","string",0.968966419388687,0.0186054224303102,Inf,0.933178111638775,1.00612724429864
"EGAD","string",1.62428372467552,0.0244056411947675,Inf,1.57714702722052,1.67282921167811
"ppr","string",3.09407400638045,0.0346446490518455,Inf,3.02691140964157,3.16272683979633
"raw","string",2.31100250786792,0.0295019386196235,Inf,2.25389715574055,2.36955469674793
"gm","string",1.22022395075246,0.0209844687341628,Inf,1.17978056791755,1.26205375006142
"mc","string",2.58132032494725,0.0313407349333506,Inf,2.52061872431995,2.64348374297802
"z","string",2.49497768773676,0.030761623907627,Inf,2.43540866076402,2.55600374696517
"knn","string",1.90826826940225,0.0266006700467801,Inf,1.8568376882865,1.96112337172985
"wsld","string",1.87874082438479,0.0263788944514343,Inf,1.82774405799002,1.93116047609623
"COSNet","string",2.35328251814834,0.0297946940032008,Inf,2.29560458742436,2.41240962862688
"bagsvm","string",2.11299493539791,0.028102539759665,Inf,2.05862666381547,2.16879907148499
"rf","string",1.31826786648376,0.0218539473991325,Inf,1.276123301583,1.36180427522004
"svm","string",1.33348867018471,0.0219864116349972,Inf,1.2910849377936,1.37728508904288
"pr","omnipath",2.14896395635768,0.0284999008963429,Inf,2.09382490598958,2.20555504546446
"randomraw","omnipath",1.28549961143969,0.0216839874094765,Inf,1.24369464079081,1.32870979484228
"random","omnipath",0.981215794581427,0.018832917425751,Inf,0.944989613531162,1.01883070644386
"EGAD","omnipath",1.64481741951251,0.0246976535449327,Inf,1.5971162665951,1.69394326519476
"ppr","omnipath",3.13318833750677,0.0350403861929086,Inf,3.06525766529071,3.20262445452768
"raw","omnipath",2.34021749016638,0.0298472310057617,Inf,2.28244310726789,2.39945428818867
"gm","omnipath",1.23564964631099,0.0212389080421209,Inf,1.19471553246776,1.2779862711542
"mc","omnipath",2.61395258187611,0.031704446346779,Inf,2.55254578997214,2.67683664173223
"z","omnipath",2.52651842762523,0.031119580536673,Inf,2.4662555077349,2.58825387114595
"knn","omnipath",1.93239200943347,0.0269160310899187,Inf,1.88035114974665,1.98587315918382
"wsld","omnipath",1.90249128754566,0.0266919238285095,Inf,1.85088881891866,1.95553242430939
"COSNet","omnipath",2.38303199132151,0.0301429475122447,Inf,2.32467921680794,2.44284950396705
"bagsvm","omnipath",2.13970676691874,0.0284335278464228,Inf,2.08469754390712,2.19616752644949
"rf","omnipath",1.33493300304368,0.0221180695839006,Inf,1.29227870949983,1.37899518851081
"svm","omnipath",1.35034622345953,0.0222520010897662,Inf,1.30742988356004,1.39467129070535
