"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0747452244414486,0.000994062998523155,Inf,0.0728200877368931,0.0767170446335828
"randomraw","string",0.0354447045905641,0.000701391168836657,Inf,0.0340953896037677,0.0368453813724124
"random","string",0.0293358346653933,0.000634326122818165,Inf,0.028117801939706,0.0306049696939296
"EGAD","string",0.208848850668603,0.00161029417064846,Inf,0.205710282195982,0.212022522655606
"ppr","string",0.336659905849926,0.00183268120318655,Inf,0.333077406028223,0.340261279041731
"raw","string",0.384387395874428,0.00188033735646393,Inf,0.380708700519615,0.388079362426957
"gm","string",0.165782645804829,0.00147194940438652,Inf,0.162917755626417,0.168687762484801
"mc","string",0.296399815816445,0.00176656112243425,Inf,0.292949163030749,0.299873875443845
"z","string",0.364240878089785,0.00186921387963304,Inf,0.360585214108345,0.367912278848369
"knn","string",0.349390636233108,0.00183533977834725,Inf,0.345802064022239,0.352996354485715
"wsld","string",0.345230076754884,0.00182994578992562,Inf,0.341652309899315,0.348825458350709
"COSNet","string",0.183508671229903,0.00155028617004636,Inf,0.180489646355891,0.186566698536454
"bagsvm","string",0.37824462744375,0.00187423118913314,Inf,0.374578249112331,0.381924977570953
"rf","string",0.416115412894916,0.00189541708815797,Inf,0.41240529457892,0.419835060508972
"svm","string",0.357843220027031,0.00185665521402472,Inf,0.35421249202711,0.361490331518527
"pr","omnipath",0.0497686981259341,0.000686317052823493,Inf,0.0484406384603204,0.0511312116997969
"randomraw","omnipath",0.0232703772400689,0.000468687876915324,Inf,0.0223692510220138,0.0242069057162138
"random","omnipath",0.0192179385062796,0.000421732515172816,Inf,0.0184085528067803,0.0200621838657486
"EGAD","omnipath",0.146138570617449,0.00123382554377851,Inf,0.143736862515185,0.148573445850804
"ppr","omnipath",0.247582039498942,0.00154897948069143,Inf,0.244558600034706,0.25063045638424
"raw","omnipath",0.288167161002683,0.00164801001013829,Inf,0.284947925454416,0.291407944380545
"gm","omnipath",0.114138114866423,0.00109101379340481,Inf,0.112017154146213,0.116293975020096
"mc","omnipath",0.21452937432736,0.00144845859484868,Inf,0.21170410258722,0.217381952977629
"z","omnipath",0.270844978429926,0.00161309549327113,Inf,0.26769499258121,0.274018160772525
"knn","omnipath",0.258255738335484,0.0015667548008471,Inf,0.255196874756346,0.261338401432881
"wsld","omnipath",0.254755476564396,0.00155725098867609,Inf,0.251715372129412,0.257819647250711
"COSNet","omnipath",0.127184016826464,0.00116448535559511,Inf,0.124919108148891,0.129483914256237
"bagsvm","omnipath",0.282855545981481,0.00163502790248068,Inf,0.279661971983677,0.286071105712802
"rf","omnipath",0.316030182205983,0.00170216329933674,Inf,0.312703515302456,0.319375794168441
"svm","omnipath",0.265402944575172,0.00159470446669256,Inf,0.262289158692486,0.268540239870333
