"cv_scheme","method","rate","SE","df","asymp.LCL","asymp.UCL"
"classic","pr",2.32704201799485,0.0508931990165452,NA,2.22940082958949,2.42895960279635
"block","pr",2.32787718081983,0.0509023413422096,NA,2.2302180800127,2.42981267955232
"representative","pr",1.80757074085934,0.0448486598920437,NA,1.72177207539173,1.89764489150947
"classic","randomraw",1.76776131287289,0.0443515734414707,NA,1.68293649617732,1.85686154313503
"block","randomraw",1.06650292750205,0.0344431369304,NA,1.0010877773731,1.13619256980153
"representative","randomraw",0.896129711208018,0.0315710236976407,NA,0.836339658267707,0.960194164381854
"classic","random",1.13081046501899,0.0354669818901394,NA,1.06338994939899,1.20250554231699
"block","random",1.10144057234063,0.0350031157556882,NA,1.03492862528915,1.17222705484556
"representative","random",0.724086169255149,0.0283779325330415,NA,0.670548960050678,0.781897835568891
"classic","EGAD",13.3859897587329,0.12239586507298,NA,13.1482350459632,13.628043702787
"block","EGAD",4.78854525081034,0.0730505669590415,NA,4.64748806889779,4.93388369784377
"representative","EGAD",4.0742026478466,0.0673699948903884,NA,3.94427667283178,4.20840843393548
"classic","ppr",16.6559306061266,0.13663901860976,NA,16.3902645711998,16.9259027608117
"block","ppr",8.00628842164295,0.0945327043861001,NA,7.82313515647904,8.19372962480988
"representative","ppr",7.52871447956022,0.0916591359357675,NA,7.35119229594772,7.71052360390366
"classic","raw",18.4281461207279,0.143787092434583,NA,18.1484725414659,18.7121295564122
"block","raw",9.40365502163377,0.102485947746439,NA,9.20491641088856,9.60668449539586
"representative","raw",8.85690175888209,0.0994485382002112,NA,8.66411533057869,9.05397790466037
"classic","gm",10.9256000763504,0.110509941741848,NA,10.7111374113098,11.1443567984019
"block","gm",5.10159211637964,0.0754063390892797,NA,4.95591868369248,5.25154744922401
"representative","gm",2.9848719364999,0.0576487908101759,NA,2.87399420912503,3.10002728920496
"classic","mc",14.0151457535489,0.125258573754593,NA,13.7717811828722,14.2628108800849
"block","mc",7.31087617604529,0.0903185043435994,NA,7.13598110552712,7.49005773292592
"representative","mc",6.82856964462104,0.0872780930499071,NA,6.6596325743034,7.00179219666895
"classic","z",18.2705787344156,0.143165525312209,NA,17.9921231921918,18.5533438007666
"block","z",8.63572280406733,0.0981935976958465,NA,8.44539558481076,8.83033927774973
"representative","z",8.36025826562907,0.0966082457927056,NA,8.17303773376401,8.55176747554674
"classic","knn",17.1901564265036,0.138831215436483,NA,16.9201945041139,17.4644255948603
"block","knn",10.2580265915854,0.107062960964498,NA,10.0503187366349,10.470027101738
"representative","knn",7.31797506005765,0.0903625016235213,NA,7.14299377215776,7.49724284912103
"classic","wsld",16.8844868325619,0.137581035259589,NA,16.61697479627,17.1563054704126
"block","wsld",10.4148980088768,0.107882653899943,NA,10.205583858904,10.6285051433555
"representative","wsld",7.17933803111143,0.0894994033320274,NA,7.00604807592511,7.35691419847373
"classic","COSNet",11.7543599863359,0.11464807096448,NA,11.5317881088688,11.9812276625267
"block","COSNet",3.81933879242458,0.0652246711680994,NA,3.69361656275915,3.9493403182117
"representative","COSNet",4.25877363216653,0.0688822416527047,NA,4.12588439835896,4.39594305096159
"classic","bagsvm",18.1564398150023,0.14271364253754,NA,17.878869792702,18.438319120729
"block","bagsvm",9.34519362388549,0.102165408643113,NA,9.14708314992061,9.54759483832482
"representative","bagsvm",8.74053573860206,0.0987902459208496,NA,8.54903931460257,8.93632163643071
"classic","rf",20.3136653919178,0.151033717162915,NA,20.0197911855191,20.6118534319817
"block","rf",11.054354345201,0.111162716644284,NA,10.8386124816383,11.2743905362684
"representative","rf",9.21351628514729,0.1014397904925,NA,9.01682775103151,9.41449528377241
"classic","svm",18.3983586466371,0.143669786539683,NA,18.1189149426461,18.6821121442303
"block","svm",9.35187492648518,0.102202091633718,NA,9.15369256758116,9.55434803986788
"representative","svm",8.00475728979715,0.0945236290151145,NA,7.82162180887078,8.19218070552703
