"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"raw","block","omnipath",0.0731819617222409,0.00122162162173033,Inf,0.0708234087648425,0.0756126673202014
"gm","block","omnipath",0.0401207034669874,0.00088665485726639,Inf,0.0384185048561108,0.0418950350288767
"mc","block","omnipath",0.0422077600683664,0.000910764162615917,Inf,0.0404583426066972,0.0440293512647463
"z","block","omnipath",0.0639076692987828,0.00113600245895922,Inf,0.0617169548427516,0.0661706616743443
"knn","block","omnipath",0.073255932096333,0.00122228428433212,Inf,0.0708960799063538,0.0756879355366666
"wsld","block","omnipath",0.0723362681994249,0.00121402392438895,Inf,0.0699926112236305,0.0747520932752369
"COSNet","block","omnipath",0.0305439024512743,0.00076810296653434,Inf,0.0290738516117735,0.0320858266056661
"bagsvm","block","omnipath",0.0732081338318165,0.00122185611872537,Inf,0.0708491211142494,0.0756392986987623
"rf","block","omnipath",0.0902882421276976,0.00136754155792932,Inf,0.0876435048100988,0.0930046517247641
"svm","block","omnipath",0.0688310248624623,0.00118209842610488,Inf,0.0665499557984042,0.0711843175280655
"pr","representative","omnipath",0.0120571227683902,0.000474963670271978,Inf,0.0111608450401856,0.0130244285388162
"randomraw","representative","omnipath",0.00830587945610725,0.000392794525295455,Inf,0.00757035375160699,0.00911221172877028
"random","representative","omnipath",0.00569584471392127,0.000324423574543258,Inf,0.00509401841963778,0.00636831788789317
"EGAD","representative","omnipath",0.0304925986637177,0.000767426698003445,Inf,0.0290238719128913,0.0320331970132245
"ppr","representative","omnipath",0.0607040043710416,0.00110515618174237,Inf,0.058573744415722,0.0629065625146011
"raw","representative","omnipath",0.0863530915376785,0.00133519040897172,Inf,0.0837718190086425,0.0890061746091135
"gm","representative","omnipath",0.0359230050781366,0.000836428682325212,Inf,0.0343191669311841,0.037598877146555
"mc","representative","omnipath",0.0423955938329634,0.000912908037332877,Inf,0.0406419773806363,0.0442213874175687
"z","representative","omnipath",0.0806428258471707,0.001287002658061,Inf,0.0781560678135021,0.0832015658552828
"knn","representative","omnipath",0.064800825990541,0.0011444791585477,Inf,0.062593497176123,0.0670804249428102
"wsld","representative","omnipath",0.0620883114284469,0.00111857121920363,Inf,0.0599317606470232,0.0643171531123514
"COSNet","representative","omnipath",0.0366740558359653,0.000845597642520007,Inf,0.0350522625381527,0.038367902454201
"bagsvm","representative","omnipath",0.0849708377087179,0.00132366436931005,Inf,0.0824121740196709,0.0876013566321672
"rf","representative","omnipath",0.106998173213692,0.0014979791042376,Inf,0.104097445264474,0.109969809701748
"svm","representative","omnipath",0.0791837897288445,0.00127444075314219,Inf,0.0767216670084326,0.0817179325971254
