"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",2.49636069207337,0.0332189098596754,Inf,2.43209453453207,2.56232503155065
"randomraw","string",1.3897595159063,0.0250980794076026,Inf,1.34142858054643,1.43983178833519
"random","string",1.1273735781291,0.0223941682029643,Inf,1.08432524755402,1.17213095197277
"EGAD","string",7.45852658602862,0.0614726324119561,Inf,7.33901036477842,7.57998913606594
"ppr","string",11.6840783050567,0.0755748889058905,Inf,11.5368892055772,11.8331452617836
"raw","string",13.4598698198462,0.0811742989070312,Inf,13.3017077149255,13.6199125292705
"gm","string",6.41770450762196,0.0572183136540466,Inf,6.30653283423259,6.53083591725454
"mc","string",10.3590453708504,0.0705518299138981,Inf,10.2216851500691,10.4982514546158
"z","string",12.7970844433903,0.0793269810926561,Inf,12.6425470932338,12.9535107952184
"knn","string",12.7037614472006,0.0790217919625544,Inf,12.5498218767112,12.859589282846
"wsld","string",12.6113980924145,0.0787252166285757,Inf,12.4580395755617,12.7666444532213
"COSNet","string",6.72219924951322,0.0579992296230476,Inf,6.60947862106853,6.83684225955643
"bagsvm","string",13.3067854787862,0.0806562339717151,Inf,13.1496374648273,13.465811529182
"rf","string",14.8685916144159,0.0857330808912659,Inf,14.7015037929998,15.0375784483724
"svm","string",12.9826331291124,0.0799664431500034,Inf,12.826844045569,13.1403143568548
"pr","omnipath",1.83343587593822,0.0245207776869226,Inf,1.78600046298895,1.88213115328747
"randomraw","omnipath",1.02069983856093,0.0184837856119354,Inf,0.985107654955483,1.05757797657698
"random","omnipath",0.827992192911031,0.0164846250841264,Inf,0.796305175206485,0.860940118019259
"EGAD","omnipath",5.47786634675227,0.0457408867203952,Inf,5.38894547817233,5.56825446359089
"ppr","omnipath",8.58129532714693,0.0566838680727158,Inf,8.47091306485188,8.69311595195805
"raw","omnipath",9.8855138568409,0.0610715901515828,Inf,9.76653750211757,10.0059395863278
"gm","omnipath",4.71344133994989,0.042495522010689,Inf,4.63088322438073,4.79747127895231
"mc","omnipath",7.60813350558508,0.0528095613718722,Inf,7.50532955095805,7.71234561331387
"z","omnipath",9.39873544733456,0.0596066605880839,Inf,9.28263162337433,9.51629145624461
"knn","omnipath",9.33019497968204,0.0593681887411449,Inf,9.21455803727473,9.44728309342011
"wsld","omnipath",9.26235931441755,0.0591361310782956,Inf,9.14717679948938,9.37899222349857
"COSNet","omnipath",4.93707552293902,0.0431077397209954,Inf,4.85330474697434,5.0222922297223
"bagsvm","omnipath",9.77308205808881,0.0606675192159765,Inf,9.65489632842559,9.89271450102796
"rf","omnipath",10.9201404176505,0.0646437653713865,Inf,10.7941731379445,11.0475777270987
"svm","omnipath",9.53501047290133,0.0601043369291793,Inf,9.41793285670204,9.65354352188226
