"STRING_id","n_disease"
"9606.ENSP00000368766",3
"9606.ENSP00000369218",3
"9606.ENSP00000369862",3
"9606.ENSP00000370256",3
"9606.ENSP00000370343",3
"9606.ENSP00000371398",3
"9606.ENSP00000372689",3
"9606.ENSP00000376472",3
"9606.ENSP00000376855",3
"9606.ENSP00000378890",3
"9606.ENSP00000380157",3
"9606.ENSP00000381588",3
"9606.ENSP00000382791",3
"9606.ENSP00000384179",3
"9606.ENSP00000386884",3
"9606.ENSP00000387006",3
"9606.ENSP00000393571",3
"9606.ENSP00000394484",3
"9606.ENSP00000395535",3
"9606.ENSP00000436786",3
"9606.ENSP00000445859",3
"9606.ENSP00000449629",3
"9606.ENSP00000451030",3
"9606.ENSP00000452871",3
"9606.ENSP00000001146",2
"9606.ENSP00000035383",2
"9606.ENSP00000070846",2
"9606.ENSP00000171887",2
"9606.ENSP00000178640",2
"9606.ENSP00000180166",2
"9606.ENSP00000200652",2
"9606.ENSP00000205061",2
"9606.ENSP00000215754",2
"9606.ENSP00000216225",2
"9606.ENSP00000216862",2
"9606.ENSP00000216968",2
"9606.ENSP00000219660",2
"9606.ENSP00000222145",2
"9606.ENSP00000222584",2
"9606.ENSP00000230882",2
"9606.ENSP00000230990",2
"9606.ENSP00000233954",2
"9606.ENSP00000233957",2
"9606.ENSP00000237316",2
"9606.ENSP00000238823",2
"9606.ENSP00000239243",2
"9606.ENSP00000240874",2
"9606.ENSP00000242261",2
"9606.ENSP00000244043",2
"9606.ENSP00000244061",2
"9606.ENSP00000244137",2
"9606.ENSP00000244364",2
"9606.ENSP00000245451",2
"9606.ENSP00000249750",2
"9606.ENSP00000252483",2
"9606.ENSP00000252487",2
"9606.ENSP00000253329",2
"9606.ENSP00000253814",2
"9606.ENSP00000254695",2
"9606.ENSP00000255262",2
"9606.ENSP00000256897",2
"9606.ENSP00000257497",2
"9606.ENSP00000257527",2
"9606.ENSP00000258743",2
"9606.ENSP00000259569",2
"9606.ENSP00000259607",2
"9606.ENSP00000259806",2
"9606.ENSP00000260210",2
"9606.ENSP00000260443",2
"9606.ENSP00000260600",2
"9606.ENSP00000260766",2
"9606.ENSP00000260926",2
"9606.ENSP00000261015",2
"9606.ENSP00000261416",2
"9606.ENSP00000261454",2
"9606.ENSP00000261600",2
"9606.ENSP00000261667",2
"9606.ENSP00000261745",2
"9606.ENSP00000262032",2
"9606.ENSP00000262101",2
"9606.ENSP00000262158",2
"9606.ENSP00000262209",2
"9606.ENSP00000262345",2
"9606.ENSP00000262477",2
"9606.ENSP00000262510",2
"9606.ENSP00000262554",2
"9606.ENSP00000263073",2
"9606.ENSP00000263239",2
"9606.ENSP00000263686",2
"9606.ENSP00000263753",2
"9606.ENSP00000263895",2
"9606.ENSP00000264414",2
"9606.ENSP00000264908",2
"9606.ENSP00000265071",2
"9606.ENSP00000265104",2
"9606.ENSP00000265459",2
"9606.ENSP00000265734",2
"9606.ENSP00000265970",2
"9606.ENSP00000266971",2
"9606.ENSP00000268124",2
"9606.ENSP00000268171",2
"9606.ENSP00000270722",2
"9606.ENSP00000271015",2
"9606.ENSP00000271450",2
"9606.ENSP00000273063",2
"9606.ENSP00000274793",2
"9606.ENSP00000275015",2
"9606.ENSP00000278840",2
"9606.ENSP00000279463",2
"9606.ENSP00000281017",2
"9606.ENSP00000281092",2
"9606.ENSP00000281142",2
"9606.ENSP00000281834",2
"9606.ENSP00000281923",2
"9606.ENSP00000282018",2
"9606.ENSP00000284322",2
"9606.ENSP00000284727",2
"9606.ENSP00000285679",2
"9606.ENSP00000285900",2
"9606.ENSP00000286190",2
"9606.ENSP00000287820",2
"9606.ENSP00000288135",2
"9606.ENSP00000288139",2
"9606.ENSP00000290219",2
"9606.ENSP00000290310",2
"9606.ENSP00000295902",2
"9606.ENSP00000296518",2
"9606.ENSP00000296591",2
"9606.ENSP00000296754",2
"9606.ENSP00000296786",2
"9606.ENSP00000296871",2
"9606.ENSP00000299333",2
"9606.ENSP00000299855",2
"9606.ENSP00000300134",2
"9606.ENSP00000301585",2
"9606.ENSP00000301765",2
"9606.ENSP00000302021",2
"9606.ENSP00000302111",2
"9606.ENSP00000302501",2
"9606.ENSP00000303231",2
"9606.ENSP00000304192",2
"9606.ENSP00000305416",2
"9606.ENSP00000306138",2
"9606.ENSP00000306968",2
"9606.ENSP00000307078",2
"9606.ENSP00000307134",2
"9606.ENSP00000307342",2
"9606.ENSP00000310520",2
"9606.ENSP00000312185",2
"9606.ENSP00000312652",2
"9606.ENSP00000312987",2
"9606.ENSP00000314407",2
"9606.ENSP00000315011",2
"9606.ENSP00000315130",2
"9606.ENSP00000317891",2
"9606.ENSP00000317895",2
"9606.ENSP00000318165",2
"9606.ENSP00000318176",2
"9606.ENSP00000318472",2
"9606.ENSP00000319308",2
"9606.ENSP00000321334",2
"9606.ENSP00000321345",2
"9606.ENSP00000322568",2
"9606.ENSP00000323074",2
"9606.ENSP00000323280",2
"9606.ENSP00000323580",2
"9606.ENSP00000324948",2
"9606.ENSP00000325663",2
"9606.ENSP00000328732",2
"9606.ENSP00000329170",2
"9606.ENSP00000329668",2
"9606.ENSP00000329880",2
"9606.ENSP00000330148",2
"9606.ENSP00000331310",2
"9606.ENSP00000331614",2
"9606.ENSP00000332287",2
"9606.ENSP00000332296",2
"9606.ENSP00000332931",2
"9606.ENSP00000332979",2
"9606.ENSP00000334319",2
"9606.ENSP00000334563",2
"9606.ENSP00000334910",2
"9606.ENSP00000336747",2
"9606.ENSP00000337125",2
"9606.ENSP00000337224",2
"9606.ENSP00000337386",2
"9606.ENSP00000337445",2
"9606.ENSP00000337623",2
"9606.ENSP00000337853",2
"9606.ENSP00000338774",2
"9606.ENSP00000339191",2
"9606.ENSP00000339292",2
"9606.ENSP00000339393",2
"9606.ENSP00000339435",2
"9606.ENSP00000339804",2
"9606.ENSP00000339906",2
"9606.ENSP00000340347",2
"9606.ENSP00000340874",2
