"STRING_id","allergy","Alzheimers.disease","arthritis","asthma","bipolar.disorder","cardiac.arrhythmia","chronic.obstructive.pulmonary.disease","coronary.heart.disease","drug.dependence","hypertension","multiple.sclerosis","obesity","Parkinson.s.disease","psoriasis","rheumatoid.arthritis","schizophrenia","stroke","systemic.lupus.erythematosus","type.I.diabetes.mellitus","type.II.diabetes.mellitus","ulcerative.colitis","unipolar.depression"
"9606.ENSP00000354772",0.004041016,0.007301539,0.01309835,0.005551076,0.008768048,0.01106461,0.006594387,0.01069986,0.009083817,0.01198884,0.01337505,0.01175555,0.009524479,0.007716797,0.006515116,0.01016574,0.01039731,0.006659132,0.006296317,0.009026083,0.003811323,0.008162386
"9606.ENSP00000354774",0.002062692,0.00361971,0.007096458,0.002883499,0.005516527,0.006369441,0.004259458,0.006531596,0.004823204,0.006933317,0.006221906,0.007046123,0.004747573,0.003848071,0.003613556,0.006283091,0.005176743,0.004414735,0.004034327,0.005747241,0.00195803,0.004156401
"9606.ENSP00000354775",0.004268331,0.007070164,0.01317555,0.005633391,0.009219546,0.0127836,0.007301223,0.01093699,0.009390056,0.01190548,0.01378242,0.01224741,0.01142014,0.007543766,0.006712006,0.0109199,0.01248446,0.007087442,0.006721888,0.009697613,0.003828875,0.008293303
"9606.ENSP00000354777",0.003485322,0.006789935,0.01364336,0.004989606,0.008292282,0.009608403,0.006053348,0.01019341,0.00822991,0.01094143,0.01052818,0.01062329,0.008412943,0.0079735,0.006848711,0.008650426,0.008978544,0.007217993,0.006044146,0.009073402,0.00363243,0.007491547
"9606.ENSP00000354778",0.00327256,0.006221387,0.01119339,0.004561744,0.007859296,0.07772492,0.005513381,0.008653538,0.008744065,0.009332844,0.07882758,0.01029249,0.07714107,0.006090041,0.005491138,0.009137476,0.07802014,0.005290505,0.005063041,0.007226448,0.0031619,0.01479144
"9606.ENSP00000354782",0.008382281,0.01070154,0.02377803,0.01216153,0.01212886,0.01523781,0.01058123,0.014606,0.01408677,0.01839666,0.02028881,0.0171488,0.01541818,0.01702617,0.01456014,0.01537459,0.01633136,0.01179561,0.01390558,0.01321598,0.01042,0.01344296
"9606.ENSP00000354791",0.00477299,0.00839449,0.0202238,0.006128476,0.01040973,0.01804013,0.007534387,0.01718104,0.01110899,0.01333038,0.01458121,0.01863697,0.01209735,0.009333627,0.007371932,0.01677596,0.01302043,0.01249747,0.007277878,0.01069378,0.004394778,0.009693128
"9606.ENSP00000354794",0.004121928,0.006673925,0.01132993,0.005226955,0.007389161,0.008435688,0.006266145,0.009093995,0.00769944,0.01019937,0.01027076,0.01017732,0.008049067,0.00703182,0.006122674,0.008977368,0.008393685,0.006411797,0.005918638,0.008124004,0.003711072,0.007008172
"9606.ENSP00000354800",0.005231998,0.007564254,0.01367976,0.008416297,0.009076864,0.01001059,0.008266956,0.01101629,0.0115315,0.01193126,0.01093364,0.01347953,0.0112973,0.007155924,0.006939002,0.01200888,0.01053928,0.005879564,0.00645878,0.01039592,0.003823914,0.01023723
"9606.ENSP00000354813",0.003458817,0.00525965,0.01164872,0.004397846,0.2393091,0.2400786,0.2375502,0.2408903,0.007170562,0.2411261,0.00947022,0.2417067,0.006471328,0.005745803,0.006758409,0.2405929,0.006934674,0.2376064,0.2378231,0.2400232,0.002778364,0.005760587
"9606.ENSP00000354822",0.005888274,0.008734512,0.01708388,0.007970619,0.01010533,0.01217621,0.008756792,0.01259191,0.01099484,0.01402412,0.01491586,0.01403152,0.01127673,0.01083559,0.009341138,0.01246234,0.0123826,0.009254955,0.008780039,0.01088089,0.00631704,0.01004771
"9606.ENSP00000354826",0.005436664,0.009505011,0.01810996,0.0074533,0.01103808,0.0142851,0.008688405,0.0133452,0.01274017,0.01490955,0.01597016,0.01520085,0.01310363,0.01011749,0.009216749,0.01405833,0.01811064,0.008409577,0.00816972,0.01135924,0.005465101,0.01081143
"9606.ENSP00000354829",0.006529487,0.008776846,0.01665464,0.008420815,0.009669874,0.01132623,0.008559034,0.01189177,0.01079242,0.01361886,0.01460718,0.014585,0.01085378,0.01216193,0.009640373,0.01194086,0.01170745,0.009053868,0.009797974,0.01141346,0.007858934,0.01085228
