"STRING_id","degree","pagerank","betweenness","number_diseases"
"9606.ENSP00000054950",6,3.46766285250496e-05,0.000250383638204717,0
"9606.ENSP00000055077",5,2.52645359027344e-05,0,0
"9606.ENSP00000056217",8,2.4372918103186e-05,0,0
"9606.ENSP00000056233",5,3.47577897670525e-05,1.30453441232051e-07,0
"9606.ENSP00000057513",15,6.45334475231728e-05,0.000191492364804081,0
"9606.ENSP00000058691",2,2.08016967329862e-05,8.69689608213673e-08,0
"9606.ENSP00000061240",9,6.31449292915574e-05,3.6171840288287e-05,0
"9606.ENSP00000064724",25,8.78331709440968e-05,0,0
"9606.ENSP00000064780",2,2.08185464014425e-05,0,0
"9606.ENSP00000070846",10,5.57089290303166e-05,8.42874178627085e-06,0
"9606.ENSP00000071281",7,3.24010024103118e-05,0.000183845135762969,0
"9606.ENSP00000074304",30,9.51992287187216e-05,4.07647718016177e-06,0
"9606.ENSP00000075120",1,1.65938662515318e-05,0,0
"9606.ENSP00000078429",192,0.00023786567720866,0.00038531410770764,0
"9606.ENSP00000078445",33,7.78025036323942e-05,2.6332824577241e-05,0
"9606.ENSP00000078527",8,7.41548615323506e-05,0,0
"9606.ENSP00000080059",79,0.000208415073975612,0.000145735216340822,0
"9606.ENSP00000081029",6,4.7338589642379e-05,3.88461358335441e-06,0
"9606.ENSP00000083182",3,2.10989085762676e-05,0,0
"9606.ENSP00000085219",9,3.50179068370761e-05,6.73936972231579e-05,0
"9606.ENSP00000155840",55,0.000140895724247767,0.00111945937881724,5
"9606.ENSP00000155858",1,1.51993802533589e-05,0,0
"9606.ENSP00000155926",2,1.68131553982624e-05,0,0
"9606.ENSP00000156084",1,1.45836147757797e-05,0,0
"9606.ENSP00000156471",12,4.58453820243419e-05,4.68581513492125e-05,0
"9606.ENSP00000156626",26,9.50504089372195e-05,3.27438137492448e-06,0
"9606.ENSP00000156825",66,0.000160192593674139,0.000140186751942135,0
"9606.ENSP00000157812",126,0.000258598657999227,1.75406461935474e-05,1
"9606.ENSP00000158166",23,7.07304590014482e-05,4.86222330954732e-05,0
"9606.ENSP00000158762",9,5.22440718003715e-05,0.000176855005536951,0
"9606.ENSP00000158771",16,8.00550072085304e-05,1.11610166387421e-06,0
"9606.ENSP00000159060",13,4.68599973779982e-05,7.79821682031594e-06,0
"9606.ENSP00000159111",4,2.572703474831e-05,0,0
"9606.ENSP00000160262",10,4.62864325923855e-05,1.50746198757037e-06,0
"9606.ENSP00000160373",24,7.83177888317657e-05,4.05371989606262e-07,0
"9606.ENSP00000160382",16,5.18209656535283e-05,0,0
"9606.ENSP00000160740",1,1.71682689714947e-05,0,0
"9606.ENSP00000160827",4,2.58618008223458e-05,0,0
"9606.ENSP00000161559",7,5.75421936359227e-05,0.000365490681558497,0
"9606.ENSP00000161863",2,2.23297344244634e-05,0,0
"9606.ENSP00000162023",7,2.88785692181853e-05,1.21031803809736e-06,0
"9606.ENSP00000162044",1,1.63975456137336e-05,0,0
"9606.ENSP00000162749",82,0.000252277219368971,0.000471496181581875,0
"9606.ENSP00000163416",3,2.26094437054168e-05,1.02913270305285e-06,0
"9606.ENSP00000164133",40,8.3944554332889e-05,2.13458472214432e-05,0
"9606.ENSP00000164139",4,2.77829931673134e-05,0,0
"9606.ENSP00000164227",27,8.60723412749077e-05,1.43897393092354e-05,0
"9606.ENSP00000164305",10,8.78343047077102e-05,1.9423067916772e-06,0
"9606.ENSP00000165524",1,2.64748199541214e-05,0,0
"9606.ENSP00000166139",3,2.74056627642489e-05,5.27539221515611e-05,0
"9606.ENSP00000166244",4,3.08961873012196e-05,4.34844804106837e-08,0
"9606.ENSP00000166345",6,3.34025609962303e-05,4.18900494622919e-06,0
"9606.ENSP00000166534",8,5.24432224139508e-05,0.000169026591160795,0
"9606.ENSP00000167586",10,5.46572273288775e-05,0.000421980645318676,0
"9606.ENSP00000168712",31,8.11299142895616e-05,9.71153395838602e-07,0
"9606.ENSP00000168977",11,4.7247523103447e-05,2.87942150257211e-05,0
"9606.ENSP00000169298",22,7.21856254406345e-05,2.31467889226069e-05,0
"9606.ENSP00000169551",22,0.000107809623505588,2.60906882464102e-07,0
"9606.ENSP00000170168",2,1.68059885731171e-05,0,0
"9606.ENSP00000170447",1,1.67851530268224e-05,0,0
"9606.ENSP00000170630",88,0.000167797261570612,0.000154158859528048,2
"9606.ENSP00000171111",63,0.000258805173954903,0.000845625779915294,3
"9606.ENSP00000171214",10,4.73415743125287e-05,0,0
"9606.ENSP00000171757",136,0.000136985156600159,9.41237849436802e-09,0
"9606.ENSP00000171887",24,7.1284941751386e-05,7.99462172350419e-05,0
"9606.ENSP00000172229",146,0.000388586033483138,0.00121530948999546,0
"9606.ENSP00000173229",37,0.000115803176268217,1.27735661206383e-05,0
"9606.ENSP00000173898",5,3.34069340775328e-05,0.000148419779055065,0
"9606.ENSP00000174618",4,2.73253905371935e-05,1.06102132202068e-05,0
"9606.ENSP00000174653",19,6.18492811425784e-05,0,0
"9606.ENSP00000175091",1,1.75200969529389e-05,0,0
"9606.ENSP00000175506",34,0.000126112851946323,1.88577696714332e-05,0
"9606.ENSP00000175756",3,2.17401163794849e-05,8.69689608213673e-08,0
"9606.ENSP00000176183",199,0.000180625182846352,5.70600747320863e-05,10
"9606.ENSP00000176195",72,0.000101542514441638,0.000116234740879098,0
"9606.ENSP00000177694",9,3.07007523951298e-05,2.89896536071224e-08,0
"9606.ENSP00000178640",14,4.53210152711781e-05,1.37773328767849e-05,0
"9606.ENSP00000179259",13,5.66409942711474e-05,0.000133490107447397,0
"9606.ENSP00000180166",29,7.51874953945409e-05,1.06295396559449e-07,0
"9606.ENSP00000180173",4,3.8563542821946e-05,4.75430319156808e-06,0
"9606.ENSP00000181383",4,2.80610089943908e-05,2.64240692628921e-05,0
"9606.ENSP00000181839",13,4.13555778678246e-05,5.73632770750935e-06,0
"9606.ENSP00000182377",2,2.75688862647781e-05,0,0
"9606.ENSP00000183605",26,9.33681093361423e-05,0,0
"9606.ENSP00000184183",2,4.76431443659563e-05,0,0
"9606.ENSP00000184266",57,0.000122418522465666,0.00106757862061298,10
"9606.ENSP00000184956",1,1.63975456137336e-05,0,0
"9606.ENSP00000185150",7,4.17310004884579e-05,8.23306162442277e-06,0
"9606.ENSP00000185206",1,1.48968472270128e-05,0,0
"9606.ENSP00000188312",6,3.06445827585203e-05,0,0
"9606.ENSP00000188790",1,1.36795273116251e-05,0,0
"9606.ENSP00000192788",11,4.87014015851182e-05,7.31264012239664e-06,0
