"disease","uniprot.id"
"arthritis","P23975"
"arthritis","Q13748"
"arthritis","Q15878"
"arthritis","P03956"
"arthritis","P04350"
"arthritis","Q13885"
"arthritis","Q9BVA1"
"arthritis","Q9NYK1"
"arthritis","Q9NY46"
"arthritis","Q99250"
"arthritis","P35498"
"arthritis","Q9NR96"
"arthritis","P14778"
"arthritis","Q8TCC7"
"arthritis","O14788"
"arthritis","Q06643"
"arthritis","P01374"
"arthritis","Q99808"
"arthritis","P32246"
"arthritis","Q9BUF5"
"arthritis","Q3ZCM7"
"arthritis","P00742"
"arthritis","P48169"
"arthritis","Q9Y275"
"arthritis","P36888"
"arthritis","Q02641"
"arthritis","P22894"
"arthritis","P05231"
"arthritis","P42081"
"arthritis","O60658"
"arthritis","Q01668"
"arthritis","Q9H4B7"
"arthritis","P09237"
"arthritis","Q6PEY2"
"arthritis","P45452"
"arthritis","P00918"
"arthritis","P23219"
"arthritis","Q99572"
"arthritis","Q96F46"
"arthritis","P33681"
"arthritis","Q13946"
"arthritis","Q9UI33"
"arthritis","Q15858"
"arthritis","O00408"
"arthritis","Q9P0X4"
"arthritis","O00305"
"arthritis","P01008"
"arthritis","P43220"
"arthritis","Q9H3N8"
"arthritis","Q01718"
"arthritis","P18825"
"arthritis","Q16552"
"arthritis","P14415"
"arthritis","P56373"
"asthma","Q14432"
"asthma","P00374"
"asthma","P10721"
"asthma","P11473"
"asthma","P48551"
"asthma","P08913"
"asthma","P37231"
"asthma","P09619"
"asthma","P14416"
"asthma","P35367"
"asthma","P00519"
"asthma","P11229"
"asthma","P21802"
"asthma","P22607"
"asthma","O00329"
"asthma","Q08499"
"asthma","Q16539"
"asthma","P07550"
"asthma","P25025"
"asthma","P25024"
"asthma","P25101"
"asthma","P30542"
"asthma","Q15722"
"asthma","P18089"
"asthma","Q9H244"
"asthma","P04150"
"asthma","P35354"
"asthma","P16234"
"asthma","P21453"
"asthma","P24530"
"asthma","P17181"
"asthma","P01375"
"asthma","P20309"
"asthma","P14324"
"asthma","P43405"
"asthma","P08172"
"asthma","P35348"
"asthma","P35462"
"asthma","P35368"
"asthma","O15554"
"asthma","Q13370"
"asthma","P27815"
"asthma","P08588"
"asthma","Q08493"
"asthma","Q07343"
"asthma","P09917"
"asthma","P04035"
"asthma","P29274"
"asthma","P36544"
"asthma","P13945"
"asthma","P21917"
"asthma","P28223"
"asthma","P28335"
"asthma","Q99500"
"asthma","O95136"
"asthma","P24394"
"asthma","Q01344"
"asthma","P35225"
"asthma","P05231"
"asthma","P42081"
"asthma","O95977"
"asthma","P05113"
"asthma","P23219"
"asthma","Q96F46"
"asthma","Q9H228"
"asthma","P33681"
"asthma","P43681"
"asthma","Q13258"
"asthma","Q9H3N8"
"asthma","P18825"
"asthma","Q16552"
"asthma","P20292"
"asthma","Q9Y5Y4"
"asthma","P30926"
"asthma","P32297"
"asthma","P01854"
"asthma","P17787"
"asthma","P56373"
"bipolar disorder","Q14432"
"bipolar disorder","P49840"
"bipolar disorder","Q13224"
"bipolar disorder","Q05586"
"bipolar disorder","P49841"
"bipolar disorder","P06213"
"bipolar disorder","P42261"
"bipolar disorder","P48058"
"bipolar disorder","O15399"
"bipolar disorder","P18505"
"bipolar disorder","P47870"
"bipolar disorder","P18507"
"bipolar disorder","P14416"
"bipolar disorder","P08908"
"bipolar disorder","O76074"
"bipolar disorder","P31645"
"bipolar disorder","Q13936"
"bipolar disorder","Q08499"
"bipolar disorder","P03372"
"bipolar disorder","Q9Y375"
"bipolar disorder","P48039"
"bipolar disorder","Q13698"
"bipolar disorder","P04150"
"bipolar disorder","Q12879"
"bipolar disorder","Q8TCU5"
"bipolar disorder","P35354"
"bipolar disorder","P01375"
"bipolar disorder","Q05940"
"bipolar disorder","P47989"
"bipolar disorder","P35499"
"bipolar disorder","Q14524"
"bipolar disorder","P35462"
"bipolar disorder","P14867"
"bipolar disorder","P39086"
"bipolar disorder","Q13002"
"bipolar disorder","P42262"
"bipolar disorder","Q9Y5Y9"
"bipolar disorder","Q01064"
"bipolar disorder","P54750"
"bipolar disorder","Q14123"
"bipolar disorder","Q9UQD0"
"bipolar disorder","P29218"
"bipolar disorder","O43924"
"bipolar disorder","Q13370"
"bipolar disorder","P42263"
"bipolar disorder","P27815"
"bipolar disorder","Q9Y233"
"bipolar disorder","Q08493"
"bipolar disorder","Q07343"
"bipolar disorder","O43181"
"bipolar disorder","P04035"
"bipolar disorder","Q01959"
"bipolar disorder","P18545"
"bipolar disorder","P19404"
"bipolar disorder","P21917"
"bipolar disorder","P03891"
"bipolar disorder","P28223"
"bipolar disorder","P28335"
"bipolar disorder","P23975"
"bipolar disorder","P06401"
"bipolar disorder","Q9NY46"
"bipolar disorder","Q99250"
"bipolar disorder","P35498"
"bipolar disorder","Q9P0J0"
"bipolar disorder","Q99808"
"bipolar disorder","P48169"
"bipolar disorder","P22303"
"bipolar disorder","O75489"
"bipolar disorder","O60658"
"bipolar disorder","Q01668"
"bipolar disorder","P21397"
"bipolar disorder","P51649"
"bipolar disorder","P00918"
"bipolar disorder","P23219"
"bipolar disorder","P43304"
"bipolar disorder","O96000"
"bipolar disorder","P49286"
"bipolar disorder","Q16795"
"bipolar disorder","P28331"
"bipolar disorder","Q13946"
"bipolar disorder","Q14957"
"bipolar disorder","O95169"
"bipolar disorder","O75380"
"bipolar disorder","P25103"
"bipolar disorder","Q9UI33"
"bipolar disorder","Q15858"
"bipolar disorder","P03905"
"bipolar disorder","O75306"
"bipolar disorder","O00408"
"bipolar disorder","O00483"
"bipolar disorder","O60391"
"bipolar disorder","Q14416"
"bipolar disorder","Q16099"
"bipolar disorder","P22748"
"bipolar disorder","P49821"
"bipolar disorder","P56181"
"bipolar disorder","O43678"
"bipolar disorder","Q9UI09"
"bipolar disorder","P51970"
"bipolar disorder","O95139"
"bipolar disorder","O43674"
"bipolar disorder","O95182"
"bipolar disorder","O00217"
"bipolar disorder","P56556"
"bipolar disorder","Q9Y6M9"
"bipolar disorder","P03923"
"bipolar disorder","O75251"
"bipolar disorder","Q16718"
"bipolar disorder","O75438"
"bipolar disorder","P03886"
"bipolar disorder","O95168"
"bipolar disorder","P03915"
"cardiac arrhythmia","P07437"
"cardiac arrhythmia","P68371"
"cardiac arrhythmia","Q71U36"
"cardiac arrhythmia","P68366"
"cardiac arrhythmia","P37088"
"cardiac arrhythmia","P22001"
"cardiac arrhythmia","P08913"
"cardiac arrhythmia","Q03721"
"cardiac arrhythmia","P18505"
"cardiac arrhythmia","P47870"
"cardiac arrhythmia","P18507"
"cardiac arrhythmia","P60880"
"cardiac arrhythmia","P08235"
"cardiac arrhythmia","P35367"
"cardiac arrhythmia","Q13509"
"cardiac arrhythmia","P51170"
"cardiac arrhythmia","Q13936"
"cardiac arrhythmia","Q09470"
"cardiac arrhythmia","P07550"
"cardiac arrhythmia","Q12809"
"cardiac arrhythmia","Q9Y375"
"cardiac arrhythmia","P68363"
"cardiac arrhythmia","P30542"
"cardiac arrhythmia","P18089"
"cardiac arrhythmia","Q9H244"
"cardiac arrhythmia","Q13698"
"cardiac arrhythmia","P04150"
"cardiac arrhythmia","P05023"
"cardiac arrhythmia","P54710"
"cardiac arrhythmia","P35354"
"cardiac arrhythmia","P01584"
"cardiac arrhythmia","P22460"
"cardiac arrhythmia","P43119"
"cardiac arrhythmia","P63252"
"cardiac arrhythmia","Q9NZV8"
"cardiac arrhythmia","P35348"
"cardiac arrhythmia","P35499"
"cardiac arrhythmia","Q14524"
"cardiac arrhythmia","P30556"
"cardiac arrhythmia","P05026"
"cardiac arrhythmia","Q9UK17"
"cardiac arrhythmia","O43525"
"cardiac arrhythmia","O43526"
"cardiac arrhythmia","Q9BQE3"
"cardiac arrhythmia","P14867"
"cardiac arrhythmia","P30518"
"cardiac arrhythmia","P35368"
"cardiac arrhythmia","P37288"
"cardiac arrhythmia","Q9Y5Y9"
"cardiac arrhythmia","P51787"
"cardiac arrhythmia","Q9UQD0"
"cardiac arrhythmia","O95259"
"cardiac arrhythmia","P16389"
"cardiac arrhythmia","P22459"
"cardiac arrhythmia","P08588"
"cardiac arrhythmia","O43181"
"cardiac arrhythmia","P04035"
"cardiac arrhythmia","P56696"
"cardiac arrhythmia","P29274"
"cardiac arrhythmia","Q14721"
"cardiac arrhythmia","Q9Y3Q4"
"cardiac arrhythmia","P19404"
